alpha,dictionary,horizon,target,seed,nmse
0.25,tm,3,cayley,630013,0.43425066787774813
0.25,tm,3,cayley,630014,0.40764544794474245
0.25,tm,3,cayley,630015,0.428559029948598
0.25,tm,3,cayley,630016,0.4119189990481005
0.25,tm,3,cayley,630017,0.4298069033919245
0.25,tm,3,cayley,630018,0.4146538923880575
0.25,tm,3,cayley,630019,0.40726667533155786
0.25,tm,3,cayley,630020,0.4044266778277
0.25,tm,3,cayley,630021,0.4464693010730261
0.25,tm,3,cayley,630022,0.42870751636436816
0.25,tm,3,cayley,630023,0.4372676405517917
0.25,tm,3,cdf,630000,0.6188796914181633
0.25,tm,3,cdf,630001,0.6056198243270283
0.25,tm,3,cdf,630002,0.6221840609288816
0.25,tm,3,cdf,630003,0.5837661549754155
0.25,tm,3,cdf,630004,0.5830586678006955
0.25,tm,3,cdf,630005,0.605053558487387
0.25,tm,3,cdf,630006,0.6255659990275219
0.25,tm,3,cdf,630007,0.5432868247543347
0.25,tm,3,cdf,630008,0.6530168029751889
0.25,tm,3,cdf,630009,0.6316661580584143
0.25,tm,3,cdf,630010,0.5669583542515945
0.25,tm,3,cdf,630011,0.5924462918138994
0.25,tm,3,cdf,630012,0.5856325706211338
0.25,tm,3,cdf,630013,0.6606775646218536
0.25,tm,3,cdf,630014,0.6123404670306175
0.25,tm,3,cdf,630015,0.6664638330120017
0.25,tm,3,cdf,630016,0.5863517454275434
0.25,tm,3,cdf,630017,0.6579325752089472
0.25,tm,3,cdf,630018,0.6096375204948711
0.25,tm,3,cdf,630019,0.5947986441454453
0.25,tm,3,cdf,630020,0.5664066335926782
0.25,tm,3,cdf,630021,0.6856914357342282
0.25,tm,3,cdf,630022,0.6639801662883447
0.25,tm,3,cdf,630023,0.6509430959046856
0.25,tm,4,cayley,630000,0.5586591503073828
0.25,tm,4,cayley,630001,0.5703343232455889
0.25,tm,4,cayley,630002,0.5711749982845209
0.25,tm,4,cayley,630003,0.5385407477081107
0.25,tm,4,cayley,630004,0.5851433951117727
0.25,tm,4,cayley,630005,0.5851008717276602
0.25,tm,4,cayley,630006,0.57354091269863
0.25,tm,4,cayley,630007,0.5300204912975914
0.25,tm,4,cayley,630008,0.5755692293427513
0.25,tm,4,cayley,630009,0.5851594042971708
0.25,tm,4,cayley,630010,0.5300861103374951
0.25,tm,4,cayley,630011,0.5616435583611189
0.25,tm,4,cayley,630012,0.5495369800492713
0.25,tm,4,cayley,630013,0.6014369370735889
0.25,tm,4,cayley,630014,0.5727729172554857
0.25,tm,4,cayley,630015,0.5680357254489604
0.25,tm,4,cayley,630016,0.5593643971289104
0.25,tm,4,cayley,630017,0.6152617968502047
0.25,tm,4,cayley,630018,0.5759482556913346
0.25,tm,4,cayley,630019,0.5705304715808741
0.25,tm,4,cayley,630020,0.5664195501539554
0.25,tm,4,cayley,630021,0.6243247292781728
0.25,tm,4,cayley,630022,0.5993898816761719
0.25,tm,4,cayley,630023,0.6207342251422874
0.25,tm,4,cdf,630000,0.7384685767471354
0.25,tm,4,cdf,630001,0.7601118680716591
0.25,tm,4,cdf,630002,0.7531894247512382
0.25,tm,4,cdf,630003,0.7300758220084995
0.25,tm,4,cdf,630004,0.7391230956236474
0.25,tm,4,cdf,630005,0.7555690093764661
0.25,tm,4,cdf,630006,0.7489106115580227
0.25,tm,4,cdf,630007,0.6758707562528622
0.25,tm,4,cdf,630008,0.7430891854437625
0.25,tm,4,cdf,630009,0.7286664479234604
0.25,tm,4,cdf,630010,0.6693034054090413
0.25,tm,4,cdf,630011,0.7024305982587877
0.25,tm,4,cdf,630012,0.6801117739907564
0.25,tm,4,cdf,630013,0.7748662094263469
0.25,tm,4,cdf,630014,0.7534095541823329
0.25,tm,4,cdf,630015,0.7578634524804178
0.25,tm,4,cdf,630016,0.6835201531711061
0.25,tm,4,cdf,630017,0.8066129878260079
0.25,tm,4,cdf,630018,0.7295931135609779
0.25,tm,4,cdf,630019,0.7009232728163853
0.25,tm,4,cdf,630020,0.7062042471369234
0.25,tm,4,cdf,630021,0.8152332642634027
0.25,tm,4,cdf,630022,0.7937412298571908
0.25,tm,4,cdf,630023,0.7880068405156232
0.25,phase_fourier,1,cayley,630000,4.620154800305903e-05
0.25,phase_fourier,1,cayley,630001,4.565618085230497e-05
0.25,phase_fourier,1,cayley,630002,4.537411591909877e-05
0.25,phase_fourier,1,cayley,630003,4.529483847671825e-05
0.25,phase_fourier,1,cayley,630004,4.580723035986897e-05
0.25,phase_fourier,1,cayley,630005,4.562037672555219e-05
0.25,phase_fourier,1,cayley,630006,4.5800187469618465e-05
0.25,phase_fourier,1,cayley,630007,4.4011339300683425e-05
0.25,phase_fourier,1,cayley,630008,4.6157412512895335e-05
0.25,phase_fourier,1,cayley,630009,4.5506002579995456e-05
0.25,phase_fourier,1,cayley,630010,4.385487268904443e-05
0.25,phase_fourier,1,cayley,630011,4.5095095340708284e-05
0.25,phase_fourier,1,cayley,630012,4.5551579299993085e-05
0.25,phase_fourier,1,cayley,630013,4.772793911811856e-05
0.25,phase_fourier,1,cayley,630014,4.571497475207683e-05
0.25,phase_fourier,1,cayley,630015,4.715147120090148e-05
0.25,phase_fourier,1,cayley,630016,4.611457465111016e-05
0.25,phase_fourier,1,cayley,630017,4.7352919370482965e-05
0.25,phase_fourier,1,cayley,630018,4.61649480514002e-05
0.25,phase_fourier,1,cayley,630019,4.540850623818749e-05
0.25,phase_fourier,1,cayley,630020,4.517447616866247e-05
0.25,phase_fourier,1,cayley,630021,4.7796272914758644e-05
0.25,phase_fourier,1,cayley,630022,4.6748243059069684e-05
0.25,phase_fourier,1,cayley,630023,4.7511265798519404e-05
0.25,phase_fourier,1,cdf,630000,0.15422056294055494
0.25,phase_fourier,1,cdf,630001,0.1281790897875882
0.25,phase_fourier,1,cdf,630002,0.11728528851243464
0.25,phase_fourier,1,cdf,630003,0.1340569635485801
0.25,phase_fourier,1,cdf,630004,0.13290397379076338
0.25,phase_fourier,1,cdf,630005,0.118821198464121
0.25,phase_fourier,1,cdf,630006,0.14512261042362343
0.25,phase_fourier,1,cdf,630007,0.11137800387434162
0.25,phase_fourier,1,cdf,630008,0.1355222361771307
0.25,phase_fourier,1,cdf,630009,0.12845828558630767
0.25,phase_fourier,1,cdf,630010,0.1068301276293038
0.25,phase_fourier,1,cdf,630011,0.12535786486506495
0.25,phase_fourier,1,cdf,630012,0.15492707479115325
0.25,phase_fourier,1,cdf,630013,0.17696427013253982
0.25,phase_fourier,1,cdf,630014,0.13554192908271423
0.25,phase_fourier,1,cdf,630015,0.18352989886971643
0.25,phase_fourier,1,cdf,630016,0.15896649742575344
0.25,phase_fourier,1,cdf,630017,0.14781477610517324
0.25,phase_fourier,1,cdf,630018,0.14774217753249935
0.25,phase_fourier,1,cdf,630019,0.13042821924626938
0.25,phase_fourier,1,cdf,630020,0.12054375759037225
0.25,phase_fourier,1,cdf,630021,0.16072326144963764
0.25,phase_fourier,1,cdf,630022,0.15253231834918643
0.25,phase_fourier,1,cdf,630023,0.14913124854074924
0.25,phase_fourier,2,cayley,630000,0.07779926749486946
0.25,phase_fourier,2,cayley,630001,0.07224664787124802
0.25,phase_fourier,2,cayley,630002,0.06953322562704738
0.25,phase_fourier,2,cayley,630003,0.07129967483734988
0.25,phase_fourier,2,cayley,630004,0.07234561883410373
0.25,phase_fourier,2,cayley,630005,0.0697182204830215
0.25,phase_fourier,2,cayley,630006,0.07593365280099525
0.25,phase_fourier,2,cayley,630007,0.06399954196709659
0.25,phase_fourier,2,cayley,630008,0.07517870519842855
0.25,phase_fourier,2,cayley,630009,0.07304106591021622
0.25,phase_fourier,2,cayley,630010,0.06366856170534502
0.25,phase_fourier,2,cayley,630011,0.06924408512640555
0.25,phase_fourier,2,cayley,630012,0.07497084139969973
0.25,phase_fourier,2,cayley,630013,0.08603639076756119
0.25,phase_fourier,2,cayley,630014,0.07353775587447024
0.25,phase_fourier,2,cayley,630015,0.0852632338970505
0.25,phase_fourier,2,cayley,630016,0.07726110017090998
0.25,phase_fourier,2,cayley,630017,0.07860019347708212
0.25,phase_fourier,2,cayley,630018,0.07586829100208956
0.25,phase_fourier,2,cayley,630019,0.071422088187007
0.25,phase_fourier,2,cayley,630020,0.06906582075752601
0.25,phase_fourier,2,cayley,630021,0.08219936057255858
0.25,phase_fourier,2,cayley,630022,0.07921449498825336
0.25,phase_fourier,2,cayley,630023,0.0799485953919703
0.25,phase_fourier,2,cdf,630000,0.2982988785208965
0.25,phase_fourier,2,cdf,630001,0.2749310220695667
0.25,phase_fourier,2,cdf,630002,0.26398201621187267
0.25,phase_fourier,2,cdf,630003,0.27131360495244394
0.25,phase_fourier,2,cdf,630004,0.27861894706936124
0.25,phase_fourier,2,cdf,630005,0.26798353843156086
0.25,phase_fourier,2,cdf,630006,0.29771308385893575
0.25,phase_fourier,2,cdf,630007,0.24074383032655927
0.25,phase_fourier,2,cdf,630008,0.2860173183066485
0.25,phase_fourier,2,cdf,630009,0.2805941614343993
0.25,phase_fourier,2,cdf,630010,0.23671503102687036
0.25,phase_fourier,2,cdf,630011,0.2672120732421057
0.25,phase_fourier,2,cdf,630012,0.28985470982139894
0.25,phase_fourier,2,cdf,630013,0.3338117220435119
0.25,phase_fourier,2,cdf,630014,0.28453296201321104
0.25,phase_fourier,2,cdf,630015,0.33494675435922644
0.25,phase_fourier,2,cdf,630016,0.2986693834311001
