distribution,node_count,initialization,coupling_strength,seed_count,finite_seed_count,mean_tm_order,std_tm_order,mean_q05_tm_order,median_sync_residual,synchronization_success_rate
biased_sign,64,global,0.0,3,3,0.08873872945182527,0.004760248064638114,0.02245684014189885,0.36339722648951184,0.0
biased_sign,64,global,0.1,3,3,0.17677714774614842,0.021792804022071666,0.023306731990558577,0.3517737227624862,0.0
biased_sign,64,global,0.2,3,3,0.27539138799985174,0.05421436839626125,0.030895892579046184,0.32494593718872133,0.0
biased_sign,64,global,0.3,3,3,0.35502630745649544,0.04528107259595463,0.042040486335182,0.2984240628428302,0.0
biased_sign,64,global,0.4,3,3,0.39889908728361795,0.0007092286731500897,0.0428217064242452,0.2908342320106344,0.0
biased_sign,64,global,0.45,3,3,0.4056222647630358,0.018564140406793724,0.04446693574157189,0.27292382609519794,0.0
biased_sign,64,global,0.5,3,3,0.44173897696156256,0.04396618151072253,0.041543073880987276,0.24588332573920746,0.0
biased_sign,64,global,0.55,3,3,0.5186034172500998,0.029620229690887016,0.055388096141235486,0.19933477892678195,0.0
biased_sign,64,global,0.6,3,3,0.524251353918684,0.0024251934603767436,0.05841251469175432,0.1963717029976661,0.0
biased_sign,64,global,0.65,3,3,0.5676776640969362,0.030008399474723894,0.07743352991029201,0.16310591694260845,0.0
biased_sign,64,global,0.7,3,3,0.5883688202293093,0.039980745489791365,0.061834792639998915,0.15298109427239484,0.0
biased_sign,64,local,0.0,3,3,0.08054675312485708,0.0036814492497374124,0.018959324024159365,0.36361600136072747,0.0
biased_sign,64,local,0.1,3,3,0.18991319568917095,0.019345633483822414,0.02687179680103267,0.3483871113910799,0.0
biased_sign,64,local,0.2,3,3,0.29885675019029795,0.013995578071556495,0.03305442424788609,0.31712087261153143,0.0
biased_sign,64,local,0.3,3,3,0.3455989715026376,0.04835543876991023,0.039689516600435244,0.2941106227211684,0.0
biased_sign,64,local,0.4,3,3,0.38659910110959633,0.04117765298861482,0.04140490504661727,0.27359950592770743,0.0
biased_sign,64,local,0.45,3,3,0.41946583046939206,0.026415953794472567,0.04719678077344892,0.2770840288699604,0.0
biased_sign,64,local,0.5,3,3,0.44953688603045694,0.027782165629612585,0.04571312884697917,0.25702453748111964,0.0
biased_sign,64,local,0.55,3,3,0.4469005016773487,0.03932102681989414,0.053200793571479776,0.24810348338649402,0.0
biased_sign,64,local,0.6,3,3,0.49304392868994884,0.054597890251754023,0.05735889828467464,0.2522220694159932,0.0
biased_sign,64,local,0.65,3,3,0.4693106629669968,0.030426285063807436,0.052439613480297555,0.22583260539189498,0.0
biased_sign,64,local,0.7,3,3,0.5777526392448603,0.0550874333740162,0.06261740822715663,0.14013893435280322,0.0
biased_sign,128,global,0.0,3,3,0.06274053306550807,0.0025347385059751007,0.01598579582741116,0.3641130816354323,0.0
biased_sign,128,global,0.1,3,3,0.1804687430208327,0.04614167390678003,0.019759447830066945,0.3497822098723274,0.0
biased_sign,128,global,0.2,3,3,0.23386406084635625,0.028111587529170298,0.021890048195493145,0.3375505956761332,0.0
