beta,seed,x0,zero_count,max_abs,unit_error
1.0001,0,-0.014160997153009256,0,69206.80668179042,2.220446049250313e-16
1.0001,1,0.012799660183284583,0,53876.60144892301,2.220446049250313e-16
1.0001,2,0.0452054789159433,0,12619.861859940047,2.220446049250313e-16
1.0001,3,-0.008166370678516726,0,85898.87364782576,2.220446049250313e-16
1.0001,4,-0.031497158155152825,0,5842.7648894653385,2.220446049250313e-16
1.0001,5,0.01619636851986098,0,379192.15165760205,2.220446049250313e-16
1.0001,6,-0.014858115634822509,0,6997.17464409814,2.220446049250313e-16
1.0001,7,-0.07016131662253677,0,23172.49421179095,2.220446049250313e-16
1.0001,8,0.004338017246814353,0,19543.204538945472,2.220446049250313e-16
1.0001,9,-0.009346497753674618,0,785851.1734399416,2.220446049250313e-16
1.0001,10,0.031731544672830736,0,19577.54067116552,2.220446049250313e-16
1.0001,11,0.06167174769562117,0,821805.6011906762,2.220446049250313e-16
1.0001,12,-0.018167194471771907,0,90064.23894449638,2.220446049250313e-16
1.0001,13,-0.24466740994365913,0,159790.04528346856,2.220446049250313e-16
1.0001,14,-0.042499676340841966,0,6280.175295069621,2.220446049250313e-16
1.0001,15,2.645489365978796,0,7526.895981372987,2.220446049250313e-16
1.0001,16,0.018020575027421302,0,14443.654122244756,2.220446049250313e-16
1.0001,17,-2.487122402162854,0,11731.23119136218,2.220446049250313e-16
1.0001,18,0.01149451787146923,0,48987.29186229063,2.220446049250313e-16
1.0001,19,0.0227708393277161,0,96398.3214257834,2.220446049250313e-16
1.0001,20,0.07097834892019295,0,16224.94102628952,2.220446049250313e-16
1.0001,21,-0.01095443028104351,0,25393.555449843858,2.220446049250313e-16
1.0001,22,-0.03454127120108474,0,16504.33638313403,2.220446049250313e-16
1.0001,23,0.015054669650233695,0,7908.123643124954,2.220446049250313e-16
1.0001,24,0.005778115971173013,0,70068.4111751344,2.220446049250313e-16
1.0001,25,0.0016775168532690763,0,8869.272948544627,2.220446049250313e-16
1.0001,26,-0.030566467856002318,0,5153.084457162479,2.220446049250313e-16
1.0001,27,-0.010346053552425157,0,21232.508379693074,2.220446049250313e-16
1.0001,28,-0.051709078849124776,0,18198.593862565103,2.220446049250313e-16
1.0001,29,0.009687345082963504,0,8251.081685404515,2.220446049250313e-16
1.0001,30,-0.006362418175195,0,11839.30453626244,2.220446049250313e-16
1.0001,31,0.009477392831462074,0,13831.180921770872,2.220446049250313e-16
1.0001,32,0.01828348757943994,0,45250.70010912261,2.220446049250313e-16
1.0001,33,-0.005581985250622962,0,8766.643668533381,2.220446049250313e-16
