beta,seed,n,k,lag,real,imag
1.0001,15,50000,4,1024,0.2954962569717179,-0.35329374595585883
1.0001,15,50000,4,4096,-0.1680298129365452,-0.024117120991098296
1.0001,15,200000,4,1,0.9989903817881735,-0.0004343211423508179
1.0001,15,200000,4,64,0.9375982293836607,-0.02401044920925266
1.0001,15,200000,4,1024,0.37370735449994597,-0.10660806313887931
1.0001,15,200000,4,4096,-0.013814988562047407,0.0009464534406348718
1.0001,15,1000000,4,1,0.9991492623871356,-0.0001585110323961465
1.0001,15,1000000,4,64,0.9470986281094553,-0.009145629761013177
1.0001,15,1000000,4,1024,0.4105544673132834,-0.04717771541310131
1.0001,15,1000000,4,4096,-0.016789670216270994,-0.05001915489464843
1.0001,16,50000,1,1,0.9997970775070826,-8.888006254193642e-05
1.0001,16,50000,1,64,0.9868170728076627,-0.005543764479091989
1.0001,16,50000,1,1024,0.8054344675910976,-0.058192404656419096
1.0001,16,50000,1,4096,0.44069130123417,-0.17643573787055403
1.0001,16,200000,1,1,0.9997729676959335,-2.1665323983889023e-05
1.0001,16,200000,1,64,0.9853784368602635,-0.0013680672599727943
1.0001,16,200000,1,1024,0.7948269483075292,-0.010205178053279354
1.0001,16,200000,1,4096,0.40039278508946313,-0.03564312610158213
1.0001,16,1000000,1,1,0.9998126877359163,-1.1454697934413358e-05
1.0001,16,1000000,1,64,0.9880391483429182,-0.0007415506433310638
1.0001,16,1000000,1,1024,0.8354747068906248,-0.008087175474832705
1.0001,16,1000000,1,4096,0.4968908088485123,0.017034790793467862
1.0001,16,50000,4,1,0.9993175889461143,-0.0007225903438600318
1.0001,16,50000,4,64,0.9567850231768433,-0.03956193097780713
1.0001,16,50000,4,1024,0.47665845702640053,-0.3196659222887402
1.0001,16,50000,4,4096,-0.030305835516101304,-0.2571139113428014
1.0001,16,200000,4,1,0.9988885360374025,-0.00022454468125819964
1.0001,16,200000,4,64,0.9299152068782836,-0.013542442806002164
1.0001,16,200000,4,1024,0.3825702215789381,-0.06890364714699053
1.0001,16,200000,4,4096,-0.10406422588048755,-0.039208881193864925
1.0001,16,1000000,4,1,0.9991837168966266,-8.049721205891581e-05
1.0001,16,1000000,4,64,0.9488836419526963,-0.00463588119262399
1.0001,16,1000000,4,1024,0.48259848419446927,-0.04491104523181135
1.0001,16,1000000,4,4096,0.08583064258124322,0.01791748651226321
