beta,gamma,r,k,n,variance,rms,effective_n,empirical,half95,ratio,interval_contains_theory
1.0001,0.017318949386946766,0.9998000239975315,1.0,50000.0,0.18000410873755263,0.4242689108779391,5.555428745562734,0.18272768423050134,0.03661499438059889,1.0151306295842375,1
1.0001,0.017318949386946766,0.9998000239975315,1.0,200000.0,0.048750950109681904,0.2207961732224585,20.512420737445293,0.05127180464249551,0.011700264583443984,1.0517088287949687,1
1.0001,0.017318949386946766,0.9998000239975315,1.0,1000000.0,0.009950198020838984,0.09975067930013802,100.50051244263395,0.009758866661058695,0.0024032905842331816,0.9807711002957351,1
1.0001,0.017318949386946766,0.9998000239975315,2.0,50000.0,0.09500180129336766,0.3082236222182973,10.526116203965206,0.08617844215680948,0.03051503980244648,0.9071242964192704,1
1.0001,0.017318949386946766,0.9998000239975315,2.0,200000.0,0.0246879878062452,0.15712411592828518,40.50552875544741,0.02695238060632945,0.006909431935299492,1.0917204276774406,1
1.0001,0.017318949386946766,0.9998000239975315,2.0,1000000.0,0.004987599560474685,0.07062293933612991,200.49725080672417,0.005209246775432361,0.0014346700958883499,1.0444396572479813,1
1.0001,0.017318949386946766,0.9998000239975315,4.0,50000.0,0.04875095267213377,0.2207961790252127,20.51241965926963,0.04436361201239217,0.025057294760174164,0.9100050271992033,1
1.0001,0.017318949386946766,0.9998000239975315,4.0,200000.0,0.012422122530028699,0.11145457608384099,80.50154050426113,0.01242283855391636,0.003345478446466683,1.0000576410259945,1
1.0001,0.017318949386946766,0.9998000239975315,4.0,1000000.0,0.002496925005312154,0.049969240591709554,400.4926050532241,0.0026161180758745408,0.0005659995807126785,1.047735943333823,1
1.0001,0.017318949386946766,0.9998000239975315,8.0,50000.0,0.024687992868646615,0.15712413203784648,40.50552044957794,0.02291547848381091,0.016026583910884455,0.9282033823378663,1
1.0001,0.017318949386946766,0.9998000239975315,8.0,200000.0,0.006230594298285467,0.07893411365363817,160.49833324490083,0.006041390807425685,0.0019105685315373789,0.9696331550728882,1
1.0001,0.017318949386946766,0.9998000239975315,8.0,1000000.0,0.001249243983983697,0.03534464576118562,800.4841430663638,0.0015712073961226987,0.00046132251950084405,1.2577266060648113,1
1.01,0.1716617792793326,0.9802375558700003,1.0,50000.0,0.0020020332522779904,0.04474408622687461,499.492203170033,0.0024836594429859474,0.0007176235867669584,1.240568527101108,1
1.01,0.1716617792793326,0.9802375558700003,1.0,200000.0,0.0005008847925290368,0.02238045559252619,1996.4670816833175,0.0005083999661990915,0.00014660467717275813,1.0150037968453975,1
1.01,0.1716617792793326,0.9802375558700003,1.0,1000000.0,0.00010019703741031609,0.010009847022323373,9980.335006362593,8.12753820766616e-05,1.982019289658274e-05,0.8111555408952007,1
1.01,0.1716617792793326,0.9802375558700003,2.0,50000.0,0.0010016184470970461,0.031648356151576754,998.3841680414964,0.0010322955724204514,0.0002920260404845811,1.0306275562439127,1
1.01,0.1716617792793326,0.9802375558700003,2.0,200000.0,0.0002504987222650799,0.015827151426112025,3992.036330396094,0.0002530125625131316,7.030289232465234e-05,1.0100353415990342,1
1.01,0.1716617792793326,0.9802375558700003,2.0,1000000.0,5.010476367919299e-05,0.007078471846323399,19958.18214816309,4.654863632524589e-05,1.2272102662571734e-05,0.9290261625278585,1
1.01,0.1716617792793326,0.9802375558700003,4.0,50000.0,0.0005011343310063802,0.022386029817865877,1995.4729463291721,0.0006144812116392168,0.00017367776644678105,1.2261806338536276,1
1.01,0.1716617792793326,0.9802375558700003,4.0,200000.0,0.0001253071010030338,0.011194065436785413,7980.393704709432,0.00012880048487910837,3.529595073514449e-05,1.027878578692759,1
1.01,0.1716617792793326,0.9802375558700003,4.0,1000000.0,2.506267450735016e-05,0.00500626352755727,39899.97155757375,2.1877085515678873e-05,4.61570388485019e-06,0.8728950898381956,1
1.01,0.1716617792793326,0.9802375558700003,8.0,50000.0,0.0002509975678156497,0.01584290275851145,3984.1023508820235,0.00024816208140376027,9.029288230445498e-05,0.9887031319204973,1
1.01,0.1716617792793326,0.9802375558700003,8.0,200000.0,6.275526215669681e-05,0.007921821896299917,15934.918692603802,6.200752410339415e-05,1.3283695265488961e-05,0.9880848549172563,1
