feature,feature_dimension,selected_penalty,train_rmse,validation_rmse,test_rmse
robust_quantiles,7,100.0,0.11208533140569153,0.11341498679271408,0.08942326760302824
raw_window,128,100.0,0.06214045138335952,0.10917971616307552,0.10065676016895427
fourier_bands,16,0.01,0.0026410313208400818,0.002911857623186852,0.0023558115284938222
cayley_delay_k1,10,1.0,0.009932818990303918,0.011756720232662393,0.012180735042736106
tm_no_delay,16,100.0,0.10727551327864308,0.10938307104283863,0.09029062696921422
tm_delay_shuffled,80,100.0,0.08212910256788028,0.12654343460232859,0.09922815752732933
tm_delay,80,0.01,0.0003647860082115615,0.0018809905403797582,0.002096141582799823
