condition_type,condition_value,difference_tm_minus_fourier,ci95_lower,ci95_upper
gaussian_noise_sigma,0.1,0.019069665531337297,0.01772123834601624,0.02039007229402614
missing_rate,0.2,-0.3145064439230928,-0.33390618400135996,-0.2952833958906582
observation_length,256.0,0.010276238229334805,0.006233396253014373,0.013753814625943503
