beta,regime,seed,coupling,step,node,closure_supported,reference_mu,reference_gamma,ks_reference,ks_stationary,median,half_iqr,paired_distance,pair_ks,exact_equal
1.01,stationary,810,0.0,0,0,True,0.0,0.1716617792793331,0.006192615561232517,0.006192615561232517,-0.001730920790923413,0.17175904317110005,2.0004237607019433,0.0062500000000000056,0
1.01,stationary,810,0.0,0,1,True,0.0,0.1716617792793331,0.0030914898949604974,0.0030914898949604974,0.00047310337007279153,0.17087229770387483,2.0004237607019433,0.0062500000000000056,0
1.01,stationary,810,0.0,1,0,True,0.0,0.17166177927933313,0.005696405147610856,0.005696405147610911,-0.0014045675779897858,0.17166751835470948,2.0009911278407073,0.007300000000000001,0
1.01,stationary,810,0.0,1,1,True,0.0,0.17166177927933313,0.004667027635007981,0.004667027635007981,0.001152859999782581,0.17030694253124604,2.0009911278407073,0.007300000000000001,0
1.01,stationary,810,0.0,2,0,True,0.0,0.17166177927933313,0.005593250706193681,0.005593250706193681,-0.0007745929219495908,0.1722964812705292,2.0009135334559023,0.006199999999999983,0
1.01,stationary,810,0.0,2,1,True,0.0,0.17166177927933313,0.003627591200696556,0.003627591200696445,0.00027771284504996094,0.16991120173209728,2.0009135334559023,0.006199999999999983,0
1.01,stationary,810,0.0,3,0,True,0.0,0.17166177927933315,0.006084589570618887,0.006084589570618998,-0.0012748842429956973,0.17191252419522968,1.9990208920886754,0.0072500000000000064,0
1.01,stationary,810,0.0,3,1,True,0.0,0.17166177927933315,0.004248563732267285,0.004248563732267285,0.000884201797221461,0.17077295592913866,1.9990208920886754,0.0072500000000000064,0
1.01,stationary,810,0.0,4,0,True,0.0,0.17166177927933318,0.004663572335580901,0.004663572335581012,0.0006721210133821829,0.1720642735256353,1.9974346748864005,0.005449999999999955,0
1.01,stationary,810,0.0,4,1,True,0.0,0.17166177927933318,0.00495441594027507,0.00495441594027507,0.001192450621207475,0.17081600646608971,1.9974346748864005,0.005449999999999955,0
1.01,stationary,810,0.0,5,0,True,0.0,0.17166177927933318,0.0043477465661105885,0.004347746566110644,-0.0003637309086723006,0.17215149780171649,1.9941870359908498,0.005599999999999994,0
1.01,stationary,810,0.0,5,1,True,0.0,0.17166177927933318,0.004437392489678338,0.004437392489678338,0.0010165689020287646,0.17080603087427668,1.9941870359908498,0.005599999999999994,0
1.01,stationary,810,0.0,6,0,True,0.0,0.1716617792793332,0.005841537470232749,0.00584153747023286,0.0014809945249602144,0.17172450943747333,1.9930308574581646,0.008349999999999969,0
1.01,stationary,810,0.0,6,1,True,0.0,0.1716617792793332,0.00396287620145086,0.0039628762014508045,0.0006174372513381948,0.17085789561789982,1.9930308574581646,0.008349999999999969,0
1.01,stationary,810,0.0,7,0,True,0.0,0.17166177927933324,0.004480267518205405,0.004480267518205294,-0.00015111314523181104,0.17143615945386254,1.9931487078123076,0.006450000000000067,0
1.01,stationary,810,0.0,7,1,True,0.0,0.17166177927933324,0.004947270035199514,0.004947270035199458,0.001147897159818724,0.1710351841362439,1.9931487078123076,0.006450000000000067,0
1.01,stationary,810,0.0,8,0,True,0.0,0.17166177927933324,0.005008678387743215,0.005008678387743326,0.0008960818630367178,0.17114952164761835,1.9951931729454908,0.006800000000000028,0
1.01,stationary,810,0.0,8,1,True,0.0,0.17166177927933324,0.004792604093054875,0.00479260409305482,0.001047373087813253,0.170593969037585,1.9951931729454908,0.006800000000000028,0
1.01,stationary,810,0.0,9,0,True,0.0,0.17166177927933327,0.005146732928368203,0.005146732928368314,0.0012668140805335549,0.17146327382902204,2.0007061450666894,0.007099999999999995,0
1.01,stationary,810,0.0,9,1,True,0.0,0.17166177927933327,0.004546686560992497,0.004546686560992441,0.0008033644354889054,0.1703711807569212,2.0007061450666894,0.007099999999999995,0
1.01,stationary,810,0.0,10,0,True,0.0,0.17166177927933327,0.0044724185708978625,0.004472418570897974,0.0007134706911696368,0.17224475528988542,2.0007712611589303,0.008650000000000047,0
1.01,stationary,810,0.0,10,1,True,0.0,0.17166177927933327,0.006859136613760364,0.006859136613760308,0.0021193282204954476,0.17021927258686134,2.0007712611589303,0.008650000000000047,0
1.01,stationary,810,0.0,11,0,True,0.0,0.1716617792793333,0.005436775111994807,0.005436775111995029,0.001130872193548456,0.17261563744311983,1.9964567583460529,0.007749999999999924,0
1.01,stationary,810,0.0,11,1,True,0.0,0.1716617792793333,0.004282875712873502,0.004282875712873446,0.0008942878441266534,0.17052772946422887,1.9964567583460529,0.007749999999999924,0
1.01,stationary,810,0.0,12,0,True,0.0,0.17166177927933332,0.004972746374151238,0.00497274637415146,0.0005157792147963907,0.17239861973065823,1.9940397507895014,0.007800000000000029,0
1.01,stationary,810,0.0,12,1,True,0.0,0.17166177927933332,0.004064813750429275,0.004064813750429219,0.0008705205024003392,0.17015400844474582,1.9940397507895014,0.007800000000000029,0
1.01,stationary,810,0.0,13,0,True,0.0,0.17166177927933332,0.004277768400042237,0.004277768400042126,0.0002417044062988438,0.17238724336298705,1.998624028804223,0.006750000000000034,0
1.01,stationary,810,0.0,13,1,True,0.0,0.17166177927933332,0.004639199656811366,0.00463919965681131,0.0011124788145434302,0.16954404320946287,1.998624028804223,0.006750000000000034,0
1.01,stationary,810,0.0,14,0,True,0.0,0.17166177927933335,0.008370039679604258,0.00837003967960448,0.002590824463344786,0.17201758836502723,2.0006697174715593,0.013350000000000084,0
1.01,stationary,810,0.0,14,1,True,0.0,0.17166177927933335,0.005643786074039259,0.005643786074039037,-0.00016359927523194753,0.1692096443560222,2.0006697174715593,0.013350000000000084,0
1.01,stationary,810,0.0,15,0,True,0.0,0.17166177927933335,0.007787904600886297,0.007787904600886519,0.0020875898723130217,0.17278613448424412,2.0044331503661286,0.012800000000000034,0
1.01,stationary,810,0.0,15,1,True,0.0,0.17166177927933335,0.0057083242472038,0.005708324247203578,0.00019509265901276608,0.1689100393714393,2.0044331503661286,0.012800000000000034,0
1.01,stationary,810,0.0,16,0,True,0.0,0.17166177927933338,0.006850001251915261,0.006850001251915705,0.0017339794980987906,0.1726710015300061,2.0085269681919447,0.01100000000000001,0
1.01,stationary,810,0.0,16,1,True,0.0,0.17166177927933338,0.004817878131181175,0.004817878131180953,0.0006172294878883792,0.16865147203436515,2.0085269681919447,0.01100000000000001,0
1.01,stationary,810,0.25,0,0,True,0.0,0.1716617792793331,0.006192615561232517,0.006192615561232517,-0.001730920790923413,0.17175904317110005,2.0004237607019433,0.0062500000000000056,0
1.01,stationary,810,0.25,0,1,True,0.0,0.1716617792793331,0.0030914898949604974,0.0030914898949604974,0.00047310337007279153,0.17087229770387483,2.0004237607019433,0.0062500000000000056,0
1.01,stationary,810,0.25,1,0,True,0.0,0.17166177927933313,0.004545759046191478,0.004545759046191478,0.001524142488968707,0.17125497088566427,0.8936378480738495,0.006350000000000022,0
1.01,stationary,810,0.25,1,1,True,0.0,0.17166177927933313,0.0041029963736839425,0.0041029963736839425,0.001322684194381649,0.16952610948998348,0.8936378480738495,0.006350000000000022,0
1.01,stationary,810,0.25,2,0,False,0.0,0.1716617792793331,0.003927916059521003,0.003927916059521003,0.0007356168875540083,0.16928223348871513,0.4169014582831287,0.005449999999999955,0
1.01,stationary,810,0.25,2,1,False,0.0,0.1716617792793331,0.004069765129978364,0.004069765129978364,0.0010276817139571737,0.16976457479678558,0.4169014582831287,0.005449999999999955,0
1.01,stationary,810,0.25,3,0,False,0.0,0.1716617792793331,0.0035210058545509515,0.0035210058545509515,-0.0002546239886467988,0.169069646010938,0.2323118478619157,0.005099999999999993,0
1.01,stationary,810,0.25,3,1,False,0.0,0.1716617792793331,0.004664671616200988,0.004664671616200988,-0.0005522298040696221,0.16965395472721906,0.2323118478619157,0.005099999999999993,0
