seed,alpha_count,tm_selected_16_rmse,fourier_16_rmse,fourier_minus_tm_rmse
20264830,4,0.0007574024515619753,0.002192434752920608,0.0014350323013586326
20264831,4,0.002595094079748995,0.0036564267381487096,0.0010613326583997144
20264832,4,0.001439821301068338,0.0029959607086154456,0.0015561394075471076
20264833,4,0.0011543494307895944,0.001811973848923368,0.0006576244181337736
20264834,4,0.0011737162223472697,0.0034515456984282947,0.0022778294760810247
20264835,4,0.0008038710141575762,0.0028133476100313717,0.0020094765958737952
20264836,4,0.001284753867095111,0.0038249406552915434,0.0025401867881964324
20264837,4,0.001339570388191693,0.002004734284127691,0.0006651638959359982
20264838,4,0.0004981100535244733,0.0022145361230082594,0.001716426069483786
20264839,4,0.0012495801415509159,0.001918822352143678,0.0006692422105927622
20264840,4,0.0011052199474088859,0.0027303143813207724,0.0016250944339118866
20264841,4,0.001674649297280218,0.0037113158719942027,0.0020366665747139846
20264842,4,0.0016755529216381949,0.0010521628172765684,-0.0006233901043616265
20264843,4,0.0013694539832926635,0.002439316398178149,0.0010698624148854853
20264844,4,0.0013313820722748435,0.002106893524683191,0.0007755114524083473
20264845,4,0.0021842169409758577,0.0021602489898781383,-2.3967951097719417e-05
20264846,4,0.0014382520918063233,0.0016491717453202077,0.00021091965351388445
20264847,4,0.001078919929425749,0.0036711455095495243,0.0025922255801237755
20264848,4,0.0004906668998451318,0.0023659446397844707,0.0018752777399393388
20264849,4,0.001655666559148085,0.0015565743423229972,-9.909221682508768e-05
20264850,4,0.000973606083815079,0.0017329374033381183,0.0007593313195230392
20264851,4,0.0007306346748834516,0.002219024395104069,0.0014883897202206172
20264852,4,0.0012715438305103508,0.004773665104029817,0.003502121273519466
20264853,4,0.0011747780196887986,0.002600537896304526,0.0014257598766157272
20264854,4,0.001187700097240008,0.0012085248205797065,2.0824723339698484e-05
20264855,4,0.0009045804444521307,0.001721871606552153,0.0008172911621000223
20264856,4,0.0020086166648738486,0.0021542197269838045,0.00014560306210995586
20264857,4,0.0011117005099958006,0.0031181111157115447,0.002006410605715744
20264858,4,0.001072970642623499,0.0025074558229917746,0.0014344851803682755
20264859,4,0.0016538170954563502,0.001709370212708016,5.5553117251665694e-05
20264860,4,0.0010439114087136502,0.0016816518504216482,0.000637740441707998
20264861,4,0.0009602807949820311,0.002037938834689405,0.0010776580397073737
20264862,4,0.0012331589125541159,0.00464511486510118,0.0034119559525470637
20264863,4,0.0018373699922746513,0.0015108693799113775,-0.00032650061236327377
20264864,4,0.0005868092792834922,0.0018891711233543264,0.0013023618440708342
20264865,4,0.0007313542218570124,0.0030342973294857794,0.002302943107628767
20264866,4,0.0015678601528451826,0.002255069216778316,0.0006872090639331334
20264867,4,0.002114966513790058,0.002537851414404279,0.0004228849006142209
20264868,4,0.0014060034623413242,0.0016512891989617056,0.0002452857366203815
20264869,4,0.0017014690795923316,0.002736879753193197,0.0010354106736008653
20264870,4,0.0007625099545960606,0.002196548537981773,0.0014340385833857122
20264871,4,0.0007662479093678795,0.003156057721782164,0.0023898098124142844
20264872,4,0.0010288077488355752,0.0035985345335099034,0.002569726784674328
20264873,4,0.0002940103466845673,0.001640064909814322,0.0013460545631297548
20264874,4,0.001531699724024863,0.0019609809461559814,0.0004292812221311185
20264875,4,0.0014397995307877112,0.0020218041289657225,0.0005820045981780114
20264876,4,0.0019145128751148458,0.0027030796334139356,0.0007885667582990898
20264877,4,0.0010910364644357159,0.003521106811676618,0.002430070347240902
