replicate,fourier_minus_tm_rmse
0,0.0013403892101720037
1,0.001331028840028509
2,0.001429977824302697
3,0.0011689060763544177
4,0.0011771293484824775
5,0.001266517549136218
6,0.001363581812188499
7,0.0014539930359061515
8,0.001156056389695483
9,0.0014026497200943001
10,0.0012149077036155234
11,0.0013314428026326608
12,0.001233086487466847
13,0.0013542981544378441
14,0.001337894098177769
15,0.0012294577651860627
16,0.0012350818744320065
17,0.0011101914684993473
18,0.0012884355728017755
19,0.0009871976617455418
20,0.0012973467015864881
21,0.0012355260029066912
22,0.0013451542526337755
23,0.0013707156076017283
24,0.0012511439889063892
25,0.0011852108725423178
26,0.0011849988981461404
27,0.0015441893653993044
28,0.0014828771049602467
29,0.00133077775086033
30,0.001315691333945929
31,0.0013971667620504746
32,0.0012449774515799626
33,0.0013488628091482067
34,0.0012015103760167711
35,0.0010989531810648263
36,0.001404159997511844
37,0.0011492980388716578
38,0.0012524367503867187
39,0.001383871497231285
40,0.001145093215205556
41,0.0012091401291367757
42,0.0010763136596664419
43,0.0010697898087642086
44,0.0011742591051440577
45,0.0014256134322918341
46,0.001364025337628981
47,0.0012829463877899027
48,0.0013340867973397259
49,0.001411098168608191
50,0.001355135305344892
51,0.0008066530736131703
52,0.0016191286335820651
53,0.0015052873302609827
54,0.0012076422511235123
55,0.0013913008379606631
56,0.0012373048868436376
57,0.0012525256003900035
58,0.0013367365828717043
59,0.0012606903760696484
60,0.0011610482187972366
61,0.0011316880574312222
62,0.0014550065322852792
63,0.0011694416216180845
64,0.001484927202444413
65,0.001286646533783544
66,0.0011918684368197796
67,0.0010668619549855638
68,0.0011416008169720456
69,0.0012158913447684184
70,0.0011153019657537666
71,0.0013573476855414694
72,0.0013094559137979476
73,0.001369347959823534
74,0.0014540732234035883
75,0.0013312495127042283
76,0.0013943944889157906
77,0.0011865705837498942
78,0.0013801188245577793
79,0.0012261460485233225
80,0.0012594657978329603
81,0.0013532051328576029
82,0.0014531685386590559
83,0.0012788594090732345
84,0.0011816045406845466
85,0.0011727568711172654
86,0.001341281147755657
87,0.0013347312757968927
88,0.0014795795286675247
89,0.0014686624280818566
90,0.001181789154354496
91,0.0008653733686485884
92,0.001233631947369112
93,0.0013031278439963902
94,0.0013532570355559493
95,0.0008856993859851987
96,0.0012140055768696649
97,0.0012943390818887538
98,0.0014699170589555033
99,0.001353595500922598
100,0.0011893994860937588
101,0.0010716307600741606
102,0.001196855879626345
103,0.001498852476626388
104,0.0011296450957084157
105,0.0012577824381439617
106,0.0011736984215967802
107,0.001124348490025977
108,0.0013920279430817263
109,0.0011228836404955599
110,0.001260815880695556
111,0.0011945519816310842
112,0.0012848191772244397
113,0.001379119744674497
114,0.0013628333572031442
115,0.0012044703569351778
116,0.0010375214673872374
117,0.0010961128232461306
118,0.0012438641675275941
119,0.0012206084990165256
120,0.001564697418075929
121,0.0012556517806616729
122,0.0014399522213420896
123,0.0010422987623937311
124,0.0012832878202435158
125,0.0014169711842222038
126,0.0013139897055317866
127,0.0013814513046575766
128,0.001235377213227232
129,0.001123059981142625
130,0.0009584290682123052
131,0.0011773787940795523
132,0.001179598879563932
133,0.0011029076818033633
134,0.001344802019533413
135,0.0010424776110477228
136,0.001260652438963651
137,0.0010205519630040304
138,0.0012556171210144544
139,0.0013582002513906465
140,0.0012797186715376018
141,0.0012205280315239321
142,0.001280586791378742
143,0.0012870693539369282
144,0.0012671022537329667
145,0.0012805015649377427
146,0.0014145455302189188
147,0.001460504050581436
148,0.0014646189719725172
149,0.0013000896112927004
150,0.001259466944950595
151,0.0011515804160847078
152,0.0012801687849813177
153,0.0010984822503863987
154,0.0013969566466822078
155,0.001285083065209252
156,0.001444689588865946
157,0.0015409425730360104
158,0.001094788572669951
159,0.0014935004121865944
160,0.0010424386243460676
161,0.0013040485427623248
162,0.0013373809988744946
163,0.0011044920326282604
164,0.0007584301788674823
165,0.0012270451831720547
166,0.001346834162764319
167,0.0013910249921868598
168,0.0012399793355967919
169,0.0013351165366116012
170,0.0010698898829882373
171,0.0014702596655536133
172,0.0010678913447555653
173,0.0010689533953581899
174,0.0012539441449726998
175,0.0009976382342814986
176,0.0014957304301844937
177,0.0014103151258543726
178,0.0013072587267567157
179,0.0010939668641273522
180,0.0013320832116022736
181,0.0011239877969830602
182,0.0010942203145787766
183,0.001153629129912735
184,0.001274915122228878
185,0.001176276329808777
186,0.0013702358258139238
187,0.0013340378906488367
188,0.001268600053302967
189,0.001176267106676811
190,0.0013961026687697971
191,0.0014595574094818154
192,0.001288611037976784
193,0.0014165071682300577
194,0.001174169567442589
195,0.001488823074763657
196,0.0011424235315917262
197,0.001278566329977459
198,0.001642110187085476
199,0.0010357712384050873
200,0.001287261771349393
201,0.0013880885060178127
202,0.0014400868397706444
203,0.0011081148156036442
204,0.0011871749144452782
205,0.0013722911414154652
206,0.0012880949856537306
207,0.0012035145981971
208,0.0011572827066042306
209,0.0012009392363298008
210,0.0011692167169395236
211,0.001071789087370924
212,0.0013402039153722223
213,0.0012563186188254442
214,0.0014085269236888023
215,0.0011185872898058684
216,0.0010301293631819416
217,0.0011043407897432253
218,0.0015288382734179229
219,0.0010673271380746327
220,0.0011893937980085635
221,0.0011102904183662096
222,0.001264773948100746
223,0.001347852205110314
224,0.0013327370946241133
225,0.0012497774239600056
226,0.0014093487536067397
227,0.0011760773559126346
228,0.0013205127910969217
229,0.0011266310156552205
230,0.001392836647772008
231,0.0012200929614254374
232,0.0013138425566795117
233,0.0012675218031279333
234,0.0009676871789896205
235,0.0012441164840170682
236,0.001173349457513706
237,0.001470639757108042
238,0.001272545481495466
239,0.0012659912609448674
240,0.0010170303530430815
241,0.0015688622008387442
242,0.0013706128558822175
243,0.0015236168239618746
244,0.0013016065844218912
245,0.0012260197864974948
246,0.0012597088770035759
247,0.0012957807963652548
248,0.0012266024772003617
249,0.0011370733626280727
250,0.0015244933092652371
251,0.0011839557924016623
252,0.0011850927737412807
253,0.0012253129476490717
254,0.0013510668285980165
255,0.0013713986847526441
256,0.0012331384606858653
257,0.0013521119644694815
258,0.001402486347752465
259,0.0012797884410484014
260,0.0013850991182541665
261,0.0013641115214955456
262,0.0013010088189641346
263,0.0011668239889977704
264,0.0012353367724562178
265,0.0015961743433386957
266,0.001477958532347537
267,0.0012550169361207058
268,0.0011723040384224155
269,0.0011151424664330456
270,0.001303322534645973
271,0.0011830858715446504
272,0.001463945240460307
273,0.0012391363445316843
274,0.0010356123712197674
275,0.0015162051562124274
276,0.0009081548808739807
277,0.001262912471703123
278,0.0014931134773732927
279,0.0013915081924527675
280,0.0016100547644601693
281,0.001273447192492948
282,0.0009930216132102453
283,0.0014539241697317635
284,0.0013710723205839557
285,0.0013485337244260316
286,0.0011401665537035227
287,0.0011695071134225688
288,0.0012821134783047331
289,0.0012521158810458704
290,0.0016412370377555702
291,0.0011525100648635642
292,0.0011361009996732497
293,0.0009676114456462946
294,0.0012524687783099855
295,0.0013164583720798907
296,0.0015725339458724011
297,0.0016490195884173741
298,0.001109145231206269
299,0.0014721841473686087
300,0.00107527478266765
301,0.0013158730588277315
302,0.0011332898039961249
303,0.0014348306181398822
304,0.0012676537112193546
305,0.0012110576901860107
306,0.0011283497166215952
307,0.001311066768312369
308,0.0011890611813456437
309,0.0012086939318714574
310,0.0014794897767160268
311,0.0012756412981300676
312,0.001233389812616443
313,0.0012676824247708168
314,0.0014577365696751118
315,0.0014178561854822672
316,0.0010663633777495529
317,0.0014200585148119748
318,0.0011507918022729056
319,0.0012458412958004177
320,0.0012203129296635916
321,0.0012472644274827906
322,0.0010697620140411059
