model,feature_name,feature_dimension,selected_penalty,cv_rmse,fit_rmse,test_rmse
tm_selected_16,tm16_short_lag_orders,16,1e-06,0.0018259833278783792,0.0015518090219968888,0.0013424366436820892
fourier_16,fourier_16,16,0.01,0.0030895639376107027,0.0026936699778765546,0.002614089997720455
tm_full_80,tm_full_80,80,0.0001,0.001759843307607525,0.000549029151462919,0.0013175256595460646
tm_instant_16,tm_instant_16,16,100.0,0.11377514289295101,0.10589443557768499,0.09465949355470438
