collision_id,split,pair_seed,alpha_low,alpha_high,left_seed,right_seed,low_location,low_scale,high_location,high_scale
0,fit,20265830,0.34,0.42,20265830,21265830,0.019776586457787716,0.735174950151863,4.937233307546584e-05,0.8812437163218751
1,fit,20265830,0.34,0.5,20265830,21265830,0.019776586457787716,0.735174950151863,0.03625895440638008,0.9906071213730455
2,fit,20265830,0.34,0.58,20265830,21265830,0.019776586457787716,0.735174950151863,-0.011388927574423984,1.1488587177816771
3,fit,20265830,0.34,0.66,20265830,21265830,0.019776586457787716,0.735174950151863,0.045674531693646825,1.3653797830711973
4,fit,20265830,0.42,0.5,20265830,21265830,-0.02689776567523205,0.8020163888589291,0.03625895440638008,0.9906071213730455
5,fit,20265830,0.42,0.58,20265830,21265830,-0.02689776567523205,0.8020163888589291,-0.011388927574423984,1.1488587177816771
6,fit,20265830,0.42,0.66,20265830,21265830,-0.02689776567523205,0.8020163888589291,0.045674531693646825,1.3653797830711973
7,fit,20265830,0.5,0.58,20265830,21265830,0.0049237414422981796,0.9629686332880909,-0.011388927574423984,1.1488587177816771
8,fit,20265830,0.5,0.66,20265830,21265830,0.0049237414422981796,0.9629686332880909,0.045674531693646825,1.3653797830711973
9,fit,20265830,0.58,0.66,20265830,21265830,-0.024249365954457695,1.1417179799484973,0.045674531693646825,1.3653797830711973
10,fit,20265831,0.34,0.42,20265831,21265831,-0.02819257956511359,0.6912798285669831,-0.01988371945133334,0.7920590375955184
11,fit,20265831,0.34,0.5,20265831,21265831,-0.02819257956511359,0.6912798285669831,-0.0012773961232669107,1.00021934281729
12,fit,20265831,0.34,0.58,20265831,21265831,-0.02819257956511359,0.6912798285669831,-0.03513245592720063,1.1731501316524575
13,fit,20265831,0.34,0.66,20265831,21265831,-0.02819257956511359,0.6912798285669831,-0.05526738181666627,1.3775257693432827
14,fit,20265831,0.42,0.5,20265831,21265831,-0.01362490552600323,0.8101936270675089,-0.0012773961232669107,1.00021934281729
15,fit,20265831,0.42,0.58,20265831,21265831,-0.01362490552600323,0.8101936270675089,-0.03513245592720063,1.1731501316524575
16,fit,20265831,0.42,0.66,20265831,21265831,-0.01362490552600323,0.8101936270675089,-0.05526738181666627,1.3775257693432827
17,fit,20265831,0.5,0.58,20265831,21265831,0.013448704220509589,0.9731659958254062,-0.03513245592720063,1.1731501316524575
18,fit,20265831,0.5,0.66,20265831,21265831,0.013448704220509589,0.9731659958254062,-0.05526738181666627,1.3775257693432827
19,fit,20265831,0.58,0.66,20265831,21265831,-0.09168666130876797,1.2252239407796708,-0.05526738181666627,1.3775257693432827
20,fit,20265832,0.34,0.42,20265832,21265832,0.004404857241616682,0.7282443774734266,0.015071303509787842,0.8459084196171556
21,fit,20265832,0.34,0.5,20265832,21265832,0.004404857241616682,0.7282443774734266,-0.034844006969111496,0.9861434772070036
22,fit,20265832,0.34,0.58,20265832,21265832,0.004404857241616682,0.7282443774734266,0.10114672488294993,1.2075634927355214
23,fit,20265832,0.34,0.66,20265832,21265832,0.004404857241616682,0.7282443774734266,0.11317015794811222,1.3789377902522433
24,fit,20265832,0.42,0.5,20265832,21265832,0.010014430584349383,0.842417633015593,-0.034844006969111496,0.9861434772070036
25,fit,20265832,0.42,0.58,20265832,21265832,0.010014430584349383,0.842417633015593,0.10114672488294993,1.2075634927355214
26,fit,20265832,0.42,0.66,20265832,21265832,0.010014430584349383,0.842417633015593,0.11317015794811222,1.3789377902522433
27,fit,20265832,0.5,0.58,20265832,21265832,0.035631709157630115,0.988275368080218,0.10114672488294993,1.2075634927355214
28,fit,20265832,0.5,0.66,20265832,21265832,0.035631709157630115,0.988275368080218,0.11317015794811222,1.3789377902522433
29,fit,20265832,0.58,0.66,20265832,21265832,0.024739716465539206,1.1480961655313497,0.11317015794811222,1.3789377902522433
30,fit,20265833,0.34,0.42,20265833,21265833,0.0066585463459124744,0.6990888028766071,0.022276973308194694,0.8645486857287912
31,fit,20265833,0.34,0.5,20265833,21265833,0.0066585463459124744,0.6990888028766071,0.032303293770533786,0.9373692948229398
32,fit,20265833,0.34,0.58,20265833,21265833,0.0066585463459124744,0.6990888028766071,-0.0440158267780139,1.1846772031901514
33,fit,20265833,0.34,0.66,20265833,21265833,0.0066585463459124744,0.6990888028766071,0.06131323274274127,1.427461738956033
34,fit,20265833,0.42,0.5,20265833,21265833,-0.008854369404985947,0.8527896355542571,0.032303293770533786,0.9373692948229398
35,fit,20265833,0.42,0.58,20265833,21265833,-0.008854369404985947,0.8527896355542571,-0.0440158267780139,1.1846772031901514
36,fit,20265833,0.42,0.66,20265833,21265833,-0.008854369404985947,0.8527896355542571,0.06131323274274127,1.427461738956033
37,fit,20265833,0.5,0.58,20265833,21265833,0.05346817028585213,0.9954645355564808,-0.0440158267780139,1.1846772031901514
38,fit,20265833,0.5,0.66,20265833,21265833,0.05346817028585213,0.9954645355564808,0.06131323274274127,1.427461738956033
39,fit,20265833,0.58,0.66,20265833,21265833,-0.0253538746435175,1.2148618575654848,0.06131323274274127,1.427461738956033
40,fit,20265834,0.34,0.42,20265834,21265834,0.014467386140455299,0.7321386792862663,0.008685787313446764,0.8315305589581854
41,fit,20265834,0.34,0.5,20265834,21265834,0.014467386140455299,0.7321386792862663,-0.06441789751416635,1.0130399688012823
42,fit,20265834,0.34,0.58,20265834,21265834,0.014467386140455299,0.7321386792862663,0.009497683070291156,1.1990719930106821
43,fit,20265834,0.34,0.66,20265834,21265834,0.014467386140455299,0.7321386792862663,-0.05734649514624407,1.4601516669847943
44,fit,20265834,0.42,0.5,20265834,21265834,0.0096413603405446,0.8113174038940958,-0.06441789751416635,1.0130399688012823
45,fit,20265834,0.42,0.58,20265834,21265834,0.0096413603405446,0.8113174038940958,0.009497683070291156,1.1990719930106821
46,fit,20265834,0.42,0.66,20265834,21265834,0.0096413603405446,0.8113174038940958,-0.05734649514624407,1.4601516669847943
47,fit,20265834,0.5,0.58,20265834,21265834,-0.02544597834023435,0.9749093692727714,0.009497683070291156,1.1990719930106821
48,fit,20265834,0.5,0.66,20265834,21265834,-0.02544597834023435,0.9749093692727714,-0.05734649514624407,1.4601516669847943
49,fit,20265834,0.58,0.66,20265834,21265834,0.006075030227928726,1.1667989675684818,-0.05734649514624407,1.4601516669847943
50,fit,20265835,0.34,0.42,20265835,21265835,-0.0013678383532907347,0.6948138748955741,-0.017508687766460806,0.826716880170488
51,fit,20265835,0.34,0.5,20265835,21265835,-0.0013678383532907347,0.6948138748955741,0.03366818149028311,1.01459025579642
52,fit,20265835,0.34,0.58,20265835,21265835,-0.0013678383532907347,0.6948138748955741,-0.017815129577120538,1.2193592799809028
53,fit,20265835,0.34,0.66,20265835,21265835,-0.0013678383532907347,0.6948138748955741,0.10285751258822487,1.4271310139815898
54,fit,20265835,0.42,0.5,20265835,21265835,0.000408149300166678,0.8220802639224373,0.03366818149028311,1.01459025579642
55,fit,20265835,0.42,0.58,20265835,21265835,0.000408149300166678,0.8220802639224373,-0.017815129577120538,1.2193592799809028
56,fit,20265835,0.42,0.66,20265835,21265835,0.000408149300166678,0.8220802639224373,0.10285751258822487,1.4271310139815898
57,fit,20265835,0.5,0.58,20265835,21265835,0.009649067544699158,1.0087559959356436,-0.017815129577120538,1.2193592799809028
58,fit,20265835,0.5,0.66,20265835,21265835,0.009649067544699158,1.0087559959356436,0.10285751258822487,1.4271310139815898
59,fit,20265835,0.58,0.66,20265835,21265835,-0.023801422987585988,1.2126219259048372,0.10285751258822487,1.4271310139815898
60,fit,20265836,0.34,0.42,20265836,21265836,0.0015823348196652176,0.7117722324511198,0.017018241116345506,0.8585973130527222
61,fit,20265836,0.34,0.5,20265836,21265836,0.0015823348196652176,0.7117722324511198,0.017355106999035058,0.9756851948481938
62,fit,20265836,0.34,0.58,20265836,21265836,0.0015823348196652176,0.7117722324511198,0.028477778628554884,1.1654962168284184
63,fit,20265836,0.34,0.66,20265836,21265836,0.0015823348196652176,0.7117722324511198,0.09378877567038094,1.3781563155061334
64,fit,20265836,0.42,0.5,20265836,21265836,-0.0003311815036318611,0.8458835603800673,0.017355106999035058,0.9756851948481938
65,fit,20265836,0.42,0.58,20265836,21265836,-0.0003311815036318611,0.8458835603800673,0.028477778628554884,1.1654962168284184
66,fit,20265836,0.42,0.66,20265836,21265836,-0.0003311815036318611,0.8458835603800673,0.09378877567038094,1.3781563155061334
67,fit,20265836,0.5,0.58,20265836,21265836,-0.043993738660998816,1.0207240424644093,0.028477778628554884,1.1654962168284184
68,fit,20265836,0.5,0.66,20265836,21265836,-0.043993738660998816,1.0207240424644093,0.09378877567038094,1.3781563155061334
69,fit,20265836,0.58,0.66,20265836,21265836,-0.03384885942645251,1.1240403877122689,0.09378877567038094,1.3781563155061334
70,fit,20265837,0.34,0.42,20265837,21265837,0.020909651721024408,0.7191889317689223,0.005399529319926148,0.864619167863516
71,fit,20265837,0.34,0.5,20265837,21265837,0.020909651721024408,0.7191889317689223,-0.011649402933241598,1.0066955307589174
72,fit,20265837,0.34,0.58,20265837,21265837,0.020909651721024408,0.7191889317689223,-0.07010682927717088,1.142906392078816
73,fit,20265837,0.34,0.66,20265837,21265837,0.020909651721024408,0.7191889317689223,-0.07656319612086404,1.3839770365925164
74,fit,20265837,0.42,0.5,20265837,21265837,0.013436324413711074,0.8828812801142314,-0.011649402933241598,1.0066955307589174
75,fit,20265837,0.42,0.58,20265837,21265837,0.013436324413711074,0.8828812801142314,-0.07010682927717088,1.142906392078816
76,fit,20265837,0.42,0.66,20265837,21265837,0.013436324413711074,0.8828812801142314,-0.07656319612086404,1.3839770365925164
77,fit,20265837,0.5,0.58,20265837,21265837,0.004775755441969842,0.9994732463004219,-0.07010682927717088,1.142906392078816
78,fit,20265837,0.5,0.66,20265837,21265837,0.004775755441969842,0.9994732463004219,-0.07656319612086404,1.3839770365925164
79,fit,20265837,0.58,0.66,20265837,21265837,-0.0019041712727768008,1.216647100085879,-0.07656319612086404,1.3839770365925164
80,fit,20265838,0.34,0.42,20265838,21265838,-0.0036167676901220315,0.7020456876071677,0.013603252796907352,0.8797040905278899
81,fit,20265838,0.34,0.5,20265838,21265838,-0.0036167676901220315,0.7020456876071677,0.04109374994934331,1.0189481684634585
82,fit,20265838,0.34,0.58,20265838,21265838,-0.0036167676901220315,0.7020456876071677,-0.0012242992866921686,1.188775440613084
83,fit,20265838,0.34,0.66,20265838,21265838,-0.0036167676901220315,0.7020456876071677,-0.03333718524297836,1.333282046404582
84,fit,20265838,0.42,0.5,20265838,21265838,0.03314220299215677,0.8841159700399175,0.04109374994934331,1.0189481684634585
85,fit,20265838,0.42,0.58,20265838,21265838,0.03314220299215677,0.8841159700399175,-0.0012242992866921686,1.188775440613084
86,fit,20265838,0.42,0.66,20265838,21265838,0.03314220299215677,0.8841159700399175,-0.03333718524297836,1.333282046404582
87,fit,20265838,0.5,0.58,20265838,21265838,-0.019263961786960104,0.9685549267536606,-0.0012242992866921686,1.188775440613084
88,fit,20265838,0.5,0.66,20265838,21265838,-0.019263961786960104,0.9685549267536606,-0.03333718524297836,1.333282046404582
89,fit,20265838,0.58,0.66,20265838,21265838,-0.03531269263470187,1.1850923334031247,-0.03333718524297836,1.333282046404582
90,fit,20265839,0.34,0.42,20265839,21265839,0.003925037165826091,0.7045626346137506,-0.02613574612359315,0.7980960907282224
91,fit,20265839,0.34,0.5,20265839,21265839,0.003925037165826091,0.7045626346137506,0.01753502266964288,0.9652564197496344
92,fit,20265839,0.34,0.58,20265839,21265839,0.003925037165826091,0.7045626346137506,0.0020722639542467515,1.1503997964732875
93,fit,20265839,0.34,0.66,20265839,21265839,0.003925037165826091,0.7045626346137506,0.033982851639201186,1.357483241323806
94,fit,20265839,0.42,0.5,20265839,21265839,-0.021639002479051664,0.8403706729718935,0.01753502266964288,0.9652564197496344
95,fit,20265839,0.42,0.58,20265839,21265839,-0.021639002479051664,0.8403706729718935,0.0020722639542467515,1.1503997964732875
96,fit,20265839,0.42,0.66,20265839,21265839,-0.021639002479051664,0.8403706729718935,0.033982851639201186,1.357483241323806
97,fit,20265839,0.5,0.58,20265839,21265839,0.021049692816838772,1.0211273527359581,0.0020722639542467515,1.1503997964732875
98,fit,20265839,0.5,0.66,20265839,21265839,0.021049692816838772,1.0211273527359581,0.033982851639201186,1.357483241323806
99,fit,20265839,0.58,0.66,20265839,21265839,0.08272028113386112,1.1702842295102371,0.033982851639201186,1.357483241323806
100,fit,20265840,0.34,0.42,20265840,21265840,-0.013156122271186066,0.6974860068334051,-2.6508388617737556e-05,0.8474472438401731
101,fit,20265840,0.34,0.5,20265840,21265840,-0.013156122271186066,0.6974860068334051,0.0006028462893823139,0.9930594839505261
102,fit,20265840,0.34,0.58,20265840,21265840,-0.013156122271186066,0.6974860068334051,-0.04003526306762835,1.1564860445868226
103,fit,20265840,0.34,0.66,20265840,21265840,-0.013156122271186066,0.6974860068334051,0.008190091743391172,1.36417948806695
