pair_seed,model,row_count,ordered_rmse,permutation_invariant_rmse
20266830,oracle_tm_full_rank,12,0.003070251524012315,0.0030702515240123153
20266830,oracle_fourier_full_rank,12,0.0020218811488320176,0.0020218811488320176
20266830,direct_tm_full_rank,12,0.008676325364117726,0.008676325364117728
20266830,direct_fourier_full_rank,12,0.011110041352136883,0.011110041352136883
20266830,direct_tm_rank_one,12,0.07514153165034848,0.07514153165034845
20266830,direct_fourier_rank_one,12,0.074251438104243,0.07425143810424302
20266831,oracle_tm_full_rank,12,0.0008649991000011067,0.0008649991000011065
20266831,oracle_fourier_full_rank,12,0.0027089555558406234,0.0027089555558406234
20266831,direct_tm_full_rank,12,0.008404005599691625,0.008404005599691625
20266831,direct_fourier_full_rank,12,0.009387310308813826,0.009387310308813828
20266831,direct_tm_rank_one,12,0.0743719689145817,0.07437196891458171
20266831,direct_fourier_rank_one,12,0.07527832516490572,0.07527832516490572
20266832,oracle_tm_full_rank,12,0.001533992131281607,0.0015339921312816072
20266832,oracle_fourier_full_rank,12,0.0020151141819542313,0.0020151141819542313
20266832,direct_tm_full_rank,12,0.009710133614036826,0.009710133614036826
20266832,direct_fourier_full_rank,12,0.006755772875820237,0.006755772875820238
20266832,direct_tm_rank_one,12,0.07373512835348384,0.07373512835348382
20266832,direct_fourier_rank_one,12,0.0738934310850858,0.07389343108508581
20266833,oracle_tm_full_rank,12,0.0015764205228283655,0.0015764205228283655
20266833,oracle_fourier_full_rank,12,0.0028834809194816886,0.0028834809194816886
20266833,direct_tm_full_rank,12,0.005335332435135494,0.005335332435135494
20266833,direct_fourier_full_rank,12,0.006224712429669776,0.006224712429669776
20266833,direct_tm_rank_one,12,0.07334085883409663,0.07334085883409663
20266833,direct_fourier_rank_one,12,0.07348715050521301,0.07348715050521301
20266834,oracle_tm_full_rank,12,0.0022117656495700875,0.0022117656495700875
20266834,oracle_fourier_full_rank,12,0.004139687484555547,0.004139687484555547
20266834,direct_tm_full_rank,12,0.006008437208394851,0.006008437208394851
20266834,direct_fourier_full_rank,12,0.010370659821582398,0.010370659821582397
20266834,direct_tm_rank_one,12,0.07327131245114492,0.07327131245114492
20266834,direct_fourier_rank_one,12,0.07384264104426826,0.07384264104426826
20266835,oracle_tm_full_rank,12,0.0024630471571721016,0.002463047157172102
20266835,oracle_fourier_full_rank,12,0.005087199203832474,0.005087199203832474
20266835,direct_tm_full_rank,12,0.0076557755602525476,0.007655775560252548
20266835,direct_fourier_full_rank,12,0.007990637947964365,0.007990637947964365
20266835,direct_tm_rank_one,12,0.07349600303781635,0.07349600303781635
20266835,direct_fourier_rank_one,12,0.07332895966932035,0.07332895966932033
20266836,oracle_tm_full_rank,12,0.0027174713834744063,0.002717471383474406
20266836,oracle_fourier_full_rank,12,0.0032082272610253516,0.0032082272610253516
20266836,direct_tm_full_rank,12,0.007432214726464466,0.007432214726464465
20266836,direct_fourier_full_rank,12,0.006633487872490226,0.006633487872490226
20266836,direct_tm_rank_one,12,0.07345339045252901,0.073453390452529
20266836,direct_fourier_rank_one,12,0.07344616142771183,0.07344616142771182
20266837,oracle_tm_full_rank,12,0.0025797021035488614,0.002579702103548861
20266837,oracle_fourier_full_rank,12,0.0028700393398799233,0.0028700393398799233
20266837,direct_tm_full_rank,12,0.008010045962541653,0.008010045962541653
20266837,direct_fourier_full_rank,12,0.009021780283034683,0.009021780283034683
20266837,direct_tm_rank_one,12,0.07333436739609353,0.07333436739609354
20266837,direct_fourier_rank_one,12,0.07360323543670355,0.07360323543670357
20266838,oracle_tm_full_rank,12,0.004314140073629805,0.004314140073629805
20266838,oracle_fourier_full_rank,12,0.0068814171427217154,0.0068814171427217154
20266838,direct_tm_full_rank,12,0.007823704098343334,0.007823704098343334
20266838,direct_fourier_full_rank,12,0.0097685716580555,0.0097685716580555
20266838,direct_tm_rank_one,12,0.07417477766192421,0.07417477766192421
20266838,direct_fourier_rank_one,12,0.0734560482044874,0.0734560482044874
20266839,oracle_tm_full_rank,12,0.0019377786201867128,0.0019377786201867126
20266839,oracle_fourier_full_rank,12,0.003025366106093609,0.003025366106093609
20266839,direct_tm_full_rank,12,0.008540645487216761,0.008540645487216763
20266839,direct_fourier_full_rank,12,0.00995699350984516,0.00995699350984516
20266839,direct_tm_rank_one,12,0.07313704142692075,0.07313704142692075
20266839,direct_fourier_rank_one,12,0.07405901347743106,0.07405901347743106
20266840,oracle_tm_full_rank,12,0.001327903909574107,0.001327903909574107
20266840,oracle_fourier_full_rank,12,0.003961545710716764,0.003961545710716764
20266840,direct_tm_full_rank,12,0.004839608146885387,0.004839608146885387
20266840,direct_fourier_full_rank,12,0.006071519996005423,0.006071519996005424
20266840,direct_tm_rank_one,12,0.07348441756535871,0.07348441756535871
20266840,direct_fourier_rank_one,12,0.07392825180396352,0.07392825180396351
20266841,oracle_tm_full_rank,12,0.0013752966058057426,0.0013752966058057424
20266841,oracle_fourier_full_rank,12,0.00233772032075434,0.00233772032075434
20266841,direct_tm_full_rank,12,0.008771150016352754,0.008771150016352753
