model,observation_rank,feature_dimension,selected_penalty,cv_ordered_rmse,cv_permutation_invariant_rmse,fit_ordered_rmse,fit_permutation_invariant_rmse,test_ordered_rmse,test_permutation_invariant_rmse
oracle_tm_full_rank,2,32,1.0,0.002428738280635927,0.002428738280635927,0.0019278122797527766,0.0019278122797527766,0.002083314369515024,0.002083314369515024
oracle_fourier_full_rank,2,32,0.01,0.0031087888624117986,0.0031087888624117986,0.0022465183166569445,0.002246518316656945,0.003050688721131833,0.003050688721131833
direct_tm_full_rank,2,32,0.01,0.009502300792099181,0.009502300792099181,0.008211927129326942,0.008211927129326942,0.007740222490239181,0.00774022249023918
direct_fourier_full_rank,2,32,1.0,0.011008320994620447,0.011008320994620447,0.009817869375793873,0.009817869375793873,0.00906970888669749,0.00906970888669749
direct_tm_rank_one,1,16,1.0,0.09001370975540281,0.09001370975540281,0.08989450340876647,0.08989450340876645,0.07371025666935448,0.07371025666935448
direct_fourier_rank_one,1,16,1.0,0.09033544803814768,0.09033544803814768,0.09014788893029116,0.09014788893029116,0.07389114491748885,0.07389114491748885
