feature,feature_dimension,selected_penalty,train_rmse,validation_rmse,test_rmse
robust_quantiles,7,100.0,0.11208533140569153,0.11341498679271408,0.08985735020106407
raw_window,128,100.0,0.06214045138335952,0.10917971616307552,0.11354506622940837
fourier_bands,16,0.01,0.0026410313208400818,0.002911857623186852,0.0023823109101799487
cayley_delay_k1,10,1.0,0.009932818990303918,0.011756720232662393,0.012216861583954738
tm_no_delay,16,100.0,0.10727551327864308,0.10938307104283863,0.09061130707000431
tm_delay_shuffled,80,100.0,0.08212910256788028,0.12654343460232859,0.1043662761755957
tm_delay,80,0.01,0.0003647860082115615,0.0018809905403797582,0.0020967587755797066
