distribution,node_count,initialization,coupling_strength,seed_count,finite_seed_count,mean_tm_order,std_tm_order,mean_q05_tm_order,median_sync_residual,synchronization_success_rate
uniform_positive,64,global,0.0,10,10,0.0841204446515152,0.002266569639351438,0.018978816970755465,0.3636102999256436,0.0
uniform_positive,64,global,0.4,10,10,0.7998578424891669,0.04695685269155358,0.12059201699190673,0.007591343478821761,0.0
uniform_positive,64,global,0.425,10,10,0.8125812230528421,0.03459870363201653,0.12670558588322534,0.005476527275697834,0.0
uniform_positive,64,global,0.45,10,10,0.8798348738338231,0.030245003669198908,0.22735532831358132,0.0006490031655548673,0.0
uniform_positive,64,global,0.475,10,10,0.9622662675513679,0.03920497566455689,0.7243991197013729,2.326913189052477e-07,0.7
uniform_positive,64,global,0.5,10,10,0.9958597300678289,0.013084235197857313,0.9690837965095032,0.0,1.0
uniform_positive,64,global,0.525,10,10,0.9999999998697472,4.118951955335975e-10,0.9999999999999998,0.0,1.0
uniform_positive,64,global,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,global,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,global,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,local,0.0,10,10,0.08411210799949288,0.0018546603157221704,0.01952755468108947,0.364031591893752,0.0
uniform_positive,64,local,0.4,10,10,0.7727651817584473,0.040961556487028386,0.10698161500313808,0.015959091490891072,0.0
uniform_positive,64,local,0.425,10,10,0.8029926504163927,0.04458320588137121,0.1164475512922832,0.006984394549257152,0.0
uniform_positive,64,local,0.45,10,10,0.9033284465611608,0.05406732818924679,0.34702957226283554,0.00026117518494318934,0.2
uniform_positive,64,local,0.475,10,10,0.9654788578517703,0.03602252586833925,0.7410958743768752,8.189299608820194e-08,0.7
uniform_positive,64,local,0.5,10,10,0.9999747797498143,7.975343374598475e-05,0.9999924112679413,0.0,1.0
uniform_positive,64,local,0.525,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,local,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,local,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,64,local,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,global,0.0,10,10,0.0585780470924838,0.0010548541367096773,0.013608525464921032,0.3657307062116369,0.0
uniform_positive,128,global,0.4,10,10,0.741384352476924,0.05020423113773583,0.07681960584074085,0.024561676053990546,0.0
uniform_positive,128,global,0.425,10,10,0.8489493888638588,0.054113579531313384,0.20703511863432705,0.0019753798214567166,0.1
uniform_positive,128,global,0.45,10,10,0.8448203071902197,0.051890753346514856,0.17094701647891739,0.001962813285481503,0.0
