distribution,node_count,initialization,mean_sample_absolute_mean,mean_sample_signed_mean,mean_row_mean_std,theory_kc_absolute_sample,signed_mean_consistency_kc,r50,r50_ci_lower,r50_ci_upper,r50_bootstrap_valid_fraction,sustained_sync_k50,sustained_sync_k50_ci_lower,sustained_sync_k50_ci_upper,sustained_sync_k50_bootstrap_valid_fraction,max_slope,max_slope_ci_lower,max_slope_ci_upper,bootstrap_seed_count,r50_times_absolute_mean,r50_times_signed_mean,sustained_sync_k50_times_absolute_mean,sustained_sync_k50_times_signed_mean
uniform_positive,64,global,1.0,1.0,0.0,0.5,0.5,0.23242019020099736,0.22460908964325402,0.2426938801279495,1.0,0.46785714285714286,0.4638888888888889,0.47916666666666663,1.0,0.45,0.45,0.475,10.0,0.23242019020099736,0.23242019020099736,0.46785714285714286,0.46785714285714286
uniform_positive,64,local,1.0,1.0,0.0,0.5,0.5,0.2415659831330852,0.23378157820202086,0.2502593456946699,1.0,0.46499999999999997,0.45,0.47916666666666663,1.0,0.45,0.425,0.45,10.0,0.2415659831330852,0.2415659831330852,0.46499999999999997,0.46499999999999997
uniform_positive,128,global,1.0,1.0,0.0,0.5,0.5,0.2585927806621426,0.24779650093669328,0.2705331087964557,1.0,0.465625,0.4625,0.475,1.0,0.4,0.4,0.475,10.0,0.2585927806621426,0.2585927806621426,0.465625,0.465625
uniform_positive,128,local,1.0,1.0,0.0,0.5,0.5,0.25427014591673464,0.24493505857042205,0.2635487323085551,1.0,0.465625,0.4625,0.475,1.0,0.475,0.4,0.475,10.0,0.25427014591673464,0.25427014591673464,0.465625,0.465625
uniform_positive,256,global,1.0,1.0,0.0,0.5,0.5,0.25842567184965365,0.24941771310498514,0.2679822558684975,1.0,0.48,0.46785714285714286,0.4875,1.0,0.45,0.4,0.475,10.0,0.25842567184965365,0.25842567184965365,0.48,0.48
uniform_positive,256,local,1.0,1.0,0.0,0.5,0.5,0.26342351614859383,0.25312672329273117,0.2742626567350323,1.0,0.4708333333333333,0.4638888888888889,0.484375,1.0,0.45,0.4,0.475,10.0,0.26342351614859383,0.26342351614859383,0.4708333333333333,0.4708333333333333
uniform_positive,512,global,1.0,1.0,0.0,0.5,0.5,0.2654046395181542,0.2522729891594365,0.28047916009951673,1.0,0.48214285714285715,0.4708333333333333,0.4875,1.0,0.4,0.4,0.4,10.0,0.2654046395181542,0.2654046395181542,0.48214285714285715,0.48214285714285715
uniform_positive,512,local,1.0,1.0,0.0,0.5,0.5,0.25673505207880265,0.24851741786153111,0.26815471644456634,1.0,0.465625,0.4625,0.475,1.0,0.45,0.4,0.45,10.0,0.25673505207880265,0.25673505207880265,0.465625,0.465625
