coupling,feature,feature_dim,cv_balanced_accuracy,selected_c,test_accuracy,test_balanced_accuracy,median_sync_rms,p90_sync_rms,effective_rank
0.0,tm_graph_late,32,0.513952892985151,0.01,0.46788990825688076,0.4678899082568807,10.40596742704301,63.46812555482893,19.126953509576822
0.0,raw_graph_late,32,0.5336981566820276,100.0,0.5275229357798165,0.5275229357798166,10.40596742704301,63.46812555482893,1.006775875196079
0.0,terminal_state,8,0.49983998975934457,1.0,0.47706422018348627,0.47706422018348627,10.40596742704301,63.46812555482893,2.0871123552984603
0.3,tm_graph_late,32,0.5017921146953405,0.1,0.5321100917431193,0.5321100917431193,5.970524740649364,23.03203247369625,7.208300324293016
0.3,raw_graph_late,32,0.5039362519201229,100.0,0.5458715596330275,0.5458715596330275,5.970524740649364,23.03203247369625,1.0099987501570116
0.3,terminal_state,8,0.5059523809523809,0.1,0.5321100917431193,0.5321100917431193,5.970524740649364,23.03203247369625,3.1498711599234763
0.45,tm_graph_late,32,0.5118407578084997,0.01,0.5275229357798165,0.5275229357798166,3.2827810690991583,19.145383684051975,8.124025763988904
0.45,raw_graph_late,32,0.5080325140809012,0.01,0.5091743119266054,0.5091743119266054,3.2827810690991583,19.145383684051975,1.0000000019039526
0.45,terminal_state,8,0.500032002048131,1.0,0.481651376146789,0.481651376146789,3.2827810690991583,19.145383684051975,1.226675244119046
0.5,tm_graph_late,32,0.5638120839733742,1.0,0.5963302752293578,0.5963302752293578,0.11313041100437163,3.0226812343604132,7.545280098012918
0.5,raw_graph_late,32,0.8903289810547874,0.01,0.9036697247706422,0.9036697247706422,0.11313041100437163,3.0226812343604132,1.0000000000005316
0.5,terminal_state,8,0.5220174091141833,100.0,0.5045871559633027,0.5045871559633028,0.11313041100437163,3.0226812343604132,1.8388992749365385
0.52,tm_graph_late,32,0.5716205837173579,10.0,0.591743119266055,0.591743119266055,0.006210325855782429,0.2727153668451235,7.842548775154761
0.52,raw_graph_late,32,0.9461405529953917,0.01,0.9495412844036697,0.9495412844036697,0.006210325855782429,0.2727153668451235,1.0
0.52,terminal_state,8,0.551715309779826,100.0,0.44495412844036697,0.44495412844036697,0.006210325855782429,0.2727153668451235,1.0032718269893788
0.6,tm_graph_late,32,0.5137928827444956,10.0,0.5779816513761468,0.5779816513761468,4.5259280549135726e-08,1.2096244318484308e-06,7.9328045074037155
0.6,raw_graph_late,32,0.988031233998976,0.01,0.9908256880733946,0.9908256880733946,4.5259280549135726e-08,1.2096244318484308e-06,1.0000000521611891
0.6,terminal_state,8,0.503968253968254,1.0,0.45871559633027525,0.45871559633027525,4.5259280549135726e-08,1.2096244318484308e-06,1.0000000000000062
0.8,tm_graph_late,32,0.5100806451612903,0.01,0.44954128440366975,0.44954128440366975,0.0,0.0,7.876435959632577
0.8,raw_graph_late,32,0.5137928827444957,100.0,0.4954128440366973,0.4954128440366973,0.0,0.0,1.0000242225119567
0.8,terminal_state,8,0.486047107014849,0.1,0.5137614678899083,0.5137614678899083,0.0,0.0,1.0
0.95,tm_graph_late,32,0.5517153097798259,10.0,0.536697247706422,0.536697247706422,0.0,0.0,7.617910763280968
0.95,raw_graph_late,32,0.5238415258576548,0.01,0.5137614678899083,0.5137614678899083,0.0,0.0,1.0002968697024215
0.95,terminal_state,8,0.5000960061443933,0.01,0.5229357798165137,0.5229357798165137,0.0,0.0,1.0
