beta,coupling_form,coupling,lambda_parallel,lambda_perp_local,local_stable,basin_success_rate,divergence_rate,median_final_error,p90_final_error
1.05,output_cross,0.0,0.6628757220200099,0.6628757220200099,False,0.0,0.0,37.33258760552221,276.4384966533535
1.05,output_cross,0.025,0.6628757220200099,0.6115824276324592,False,0.0,0.0,29.173676876120958,250.6296448491176
1.05,output_cross,0.05,0.6628757220200099,0.5575152063621834,False,0.0,0.0,23.976009497454065,185.20181144679805
1.05,output_cross,0.07500000000000001,0.6628757220200099,0.5003567925222349,False,0.00390625,0.0,26.056223561493116,175.65519454068402
1.05,output_cross,0.1,0.6628757220200099,0.4397321707058001,False,0.0,0.0,24.978869531745154,160.49091161681713
1.05,output_cross,0.125,0.6628757220200099,0.3751936495682288,False,0.0234375,0.0,23.588702126395525,165.45777133588075
1.05,output_cross,0.15000000000000002,0.6628757220200099,0.3062007780812773,False,0.0859375,0.0,16.17978179016849,123.85311947122945
1.05,output_cross,0.17500000000000002,0.6628757220200099,0.2320928059275554,False,0.1953125,0.0,4.351521534312837,88.16307776839137
1.05,output_cross,0.2,0.6628757220200099,0.15205009825401908,False,0.3828125,0.0,0.0004883221110820735,45.03477274927716
1.05,output_cross,0.225,0.6628757220200099,0.06503872126438942,False,0.6953125,0.0,0.0,13.9569608306041
1.05,output_cross,0.25,0.6628757220200099,-0.030271458539935524,True,0.87890625,0.0,0.0,8.994383157778785e-05
1.05,output_cross,0.275,0.6628757220200099,-0.13563197419776193,True,0.9765625,0.0,0.0,0.0
1.05,output_cross,0.30000000000000004,0.6628757220200099,-0.2534150098541455,True,0.9921875,0.0,0.0,0.0
1.05,output_cross,0.325,0.6628757220200099,-0.38694640247866796,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.35000000000000003,0.6628757220200099,-0.5410970823059265,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.375,0.6628757220200099,-0.7234186390998808,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.4,0.6628757220200099,-0.9465621904140907,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.42500000000000004,0.6628757220200099,-1.234244262865872,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.45,0.6628757220200099,-1.6397093709740358,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.47500000000000003,0.6628757220200099,-2.3328565515339825,True,1.0,0.0,0.0,0.0
1.05,output_cross,0.5,0.6628757220200099,-inf,True,1.0,0.0,0.0,0.0
