alpha,seed,theoretical_scale,estimated_scale,scale_relative_error,theoretical_lyapunov,estimated_lyapunov,lyapunov_absolute_error,ks_distance,tm_max_nonzero_magnitude,minimum_absolute_state,maximum_absolute_state,exact_repeat_count,finite
0.4,20260806,0.816496580927726,0.8246406244102793,0.009974375487647208,0.6829937571270775,0.6841686493367845,0.0011748922097069014,0.005572467577014573,0.0076205937879598815,1.0369010183497453e-05,38576.48829331886,0,True
0.4,20260807,0.816496580927726,0.8165140308188302,2.137166463620227e-05,0.6829937571270775,0.6829287331541452,6.50239729323987e-05,0.0010649544283600765,0.0028143817645600432,5.1319581197084574e-05,7794.295853864917,0,True
0.4,20260808,0.816496580927726,0.8232051154701344,0.008216243275367989,0.6829937571270775,0.6835531215811392,0.0005593644540616838,0.006502297789314215,0.006948521833617872,3.574547155027474e-05,11190.228639908099,0,True
0.4,20260809,0.816496580927726,0.8136066204935832,0.003539464220241007,0.6829937571270775,0.6827282835848161,0.000265473542261474,0.002541032495185669,0.003966173501435725,1.0360778841089769e-06,386071.3621385415,0,True
0.4,20260810,0.816496580927726,0.8051083217474522,0.013947712025118596,0.6829937571270775,0.6821361965367664,0.0008575605903111683,0.002634366193783988,0.006126724778264995,4.875356787437113e-06,82045.27738794788,0,True
0.5,20260806,1.0,0.9929701695910963,0.007029830408903703,0.6931471805599454,0.6931483346056098,1.1540456643643893e-06,0.0026757580001833814,0.0032993986000166412,4.832208706284646e-06,103472.35195740568,0,True
0.5,20260807,1.0,1.0025358465140242,0.002535846514024165,0.6931471805599454,0.6931366387151374,1.0541844807976375e-05,0.004497165022476657,0.003838074962201258,2.1670760014247392e-07,2307256.41219437,0,True
0.5,20260808,1.0,0.9977831188550172,0.002216881144982752,0.6931471805599454,0.6931461433497546,1.0372101908462383e-06,0.0023358341619853507,0.004496295820866023,2.8995293084532747e-05,17244.178154086552,0,True
0.5,20260809,1.0,0.992095840768106,0.007904159231894026,0.6931471805599454,0.6931783132113485,3.113265140308741e-05,0.002762510356863479,0.004174982637834849,2.0584328768724625e-05,24290.32325541903,0,True
0.5,20260810,1.0,0.9981571136071483,0.0018428863928516837,0.6931471805599454,0.6931512202326249,4.039672679478912e-06,0.0021730279744314185,0.0032308566041110596,2.757040956780088e-05,18135.38527203744,0,True
0.6,20260806,1.224744871391589,1.224798242624829,4.357742946036204e-05,0.6829937571270775,0.6830250928224086,3.1335695331091706e-05,0.0017054964662570615,0.002848982947642817,1.2997612171150585e-05,46162.32520234704,0,True
0.6,20260807,1.224744871391589,1.228571693263667,0.0031245869743711735,0.6829937571270775,0.682508235286757,0.00048552184032057966,0.005901228068334374,0.006524083089547134,3.3116806958055634e-06,181176.88723836048,0,True
0.6,20260808,1.224744871391589,1.2301201771857218,0.004388918802350436,0.6829937571270775,0.6828528561948988,0.00014090093217877797,0.0029998932727488548,0.004967700506781097,2.0202569945015903e-05,29699.191805205817,0,True
0.6,20260809,1.224744871391589,1.2317014222819038,0.005680000016991831,0.6829937571270775,0.6825009300800156,0.0004928270470619944,0.004089961197858871,0.0045159960636254265,1.4000363602373333e-05,42856.02980916025,0,True
0.6,20260810,1.224744871391589,1.2159534509819858,0.007178164705939179,0.6829937571270775,0.6838039785191881,0.0008102213921105106,0.0029655965326369493,0.0049691768967891625,3.2391909724482915e-06,185231.43744754387,0,True
