case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.1_float64,7,fixed_tm_a0,144,16,144,True,0.5959658299680863,0.5959658299680866,True
b1.1_float64,7,fourier_low,48,4,48,True,0.6945162695661777,0.6945162695661777,True
b1.1_float64,7,fourier_low,80,8,80,True,0.6339107575125151,0.6339107575125154,True
b1.1_float64,7,fourier_low,144,16,144,True,0.38814354870428636,0.3881435487042867,True
b1.1_float64,7,adaptive_tm,48,3,43,True,0.7085300500693197,0.7085300500693199,True
b1.1_float64,7,adaptive_tm,80,7,79,True,0.5966845390116979,0.596684539011698,True
b1.1_float64,7,adaptive_tm,144,14,142,True,0.5650534122391102,0.5650534122391104,True
b1.1_float64,7,fixed_tm_a0,diagnostic_m,2,,,0.8027490296167252,0.8027490296167252,
b1.1_float64,7,adaptive_tm,diagnostic_m,2,,,0.7385240809465021,0.7385240809465021,
b1.1_float64,7,fixed_tm_a0,diagnostic_m,4,,,0.7629958765735732,0.7629958765735732,
b1.1_float64,7,adaptive_tm,diagnostic_m,4,,,0.674760713625143,0.674760713625143,
b1.1_float64,7,fixed_tm_a0,diagnostic_m,8,,,0.6581308695428718,0.6581308695428718,
b1.1_float64,7,adaptive_tm,diagnostic_m,8,,,0.5868339514124902,0.5868339514124902,
b1.1_float64,8,fixed_tm_a0,48,4,48,True,0.6863022406994872,0.6863022406994874,True
b1.1_float64,8,fixed_tm_a0,80,8,80,True,0.631618207688907,0.6316182076889072,True
b1.1_float64,8,fixed_tm_a0,144,16,144,True,0.5881156148753205,0.5881156148753208,True
b1.1_float64,8,fourier_low,48,4,48,True,0.6426847366717594,0.6426847366717596,True
b1.1_float64,8,fourier_low,80,8,80,True,0.5024891810675555,0.5024891810675558,True
b1.1_float64,8,fourier_low,144,16,144,True,0.39057099582140986,0.3905709958214103,True
b1.1_float64,8,adaptive_tm,48,3,43,True,0.6661828787182067,0.6661828787182069,True
b1.1_float64,8,adaptive_tm,80,7,79,True,0.6137355804422215,0.6137355804422218,True
b1.1_float64,8,adaptive_tm,144,14,142,True,0.573480879154759,0.5734808791547593,True
b1.1_float64,8,fixed_tm_a0,diagnostic_m,2,,,0.7298367006463932,0.7298367006463932,
b1.1_float64,8,adaptive_tm,diagnostic_m,2,,,0.7033474583123618,0.7033474583123618,
b1.1_float64,8,fixed_tm_a0,diagnostic_m,4,,,0.6863022406994872,0.6863022406994872,
b1.1_float64,8,adaptive_tm,diagnostic_m,4,,,0.6453475554916173,0.6453475554916173,
b1.1_float64,8,fixed_tm_a0,diagnostic_m,8,,,0.631618207688907,0.631618207688907,
b1.1_float64,8,adaptive_tm,diagnostic_m,8,,,0.6075619362567386,0.6075619362567386,
b1.1_float64,9,fixed_tm_a0,48,4,48,True,0.6497388838840186,0.6497388838840186,True
b1.1_float64,9,fixed_tm_a0,80,8,80,True,0.5697465259995768,0.5697465259995769,True
b1.1_float64,9,fixed_tm_a0,144,16,144,True,0.5290965719891307,0.5290965719891308,True
b1.1_float64,9,fourier_low,48,4,48,True,0.6663237370761432,0.6663237370761432,True
b1.1_float64,9,fourier_low,80,8,80,True,0.5993456259461973,0.5993456259461973,True
b1.1_float64,9,fourier_low,144,16,144,True,0.30266861539615064,0.30266861539615086,True
b1.1_float64,9,adaptive_tm,48,3,43,True,0.596601348209052,0.5966013482090522,True
b1.1_float64,9,adaptive_tm,80,7,79,True,0.5442226701328022,0.5442226701328026,True
b1.1_float64,9,adaptive_tm,144,14,142,True,0.5173804846756385,0.5173804846756388,True
b1.1_float64,9,fixed_tm_a0,diagnostic_m,2,,,0.7122576871132335,0.7122576871132335,
b1.1_float64,9,adaptive_tm,diagnostic_m,2,,,0.6486305972068709,0.6486305972068709,
b1.1_float64,9,fixed_tm_a0,diagnostic_m,4,,,0.6497388838840186,0.6497388838840186,
b1.1_float64,9,adaptive_tm,diagnostic_m,4,,,0.5730665843087855,0.5730665843087855,
b1.1_float64,9,fixed_tm_a0,diagnostic_m,8,,,0.5697465259995768,0.5697465259995768,
b1.1_float64,9,adaptive_tm,diagnostic_m,8,,,0.540026828358539,0.540026828358539,
b1.1_float64,10,fixed_tm_a0,48,4,48,True,0.5234546474061852,0.5234546474061854,True
b1.1_float64,10,fixed_tm_a0,80,8,80,True,0.492985819339515,0.49298581933951535,True
b1.1_float64,10,fixed_tm_a0,144,16,144,True,0.4276522650302909,0.4276522650302912,True
b1.1_float64,10,fourier_low,48,4,48,True,0.5230017455630138,0.523001745563014,True
b1.1_float64,10,fourier_low,80,8,80,True,0.35898879463568856,0.358988794635689,True
b1.1_float64,10,fourier_low,144,16,144,True,0.24627379217771897,0.2462737921777195,True
b1.1_float64,10,adaptive_tm,48,3,43,True,0.49394134180784943,0.4939413418078496,True
b1.1_float64,10,adaptive_tm,80,7,79,True,0.44167413522741605,0.4416741352274163,True
b1.1_float64,10,adaptive_tm,144,14,142,True,0.41962434131496285,0.41962434131496307,True
b1.1_float64,10,fixed_tm_a0,diagnostic_m,2,,,0.5338287958398245,0.5338287958398245,
b1.1_float64,10,adaptive_tm,diagnostic_m,2,,,0.5252135729762297,0.5252135729762297,
b1.1_float64,10,fixed_tm_a0,diagnostic_m,4,,,0.5234546474061852,0.5234546474061852,
b1.1_float64,10,adaptive_tm,diagnostic_m,4,,,0.4722018051697068,0.4722018051697068,
b1.1_float64,10,fixed_tm_a0,diagnostic_m,8,,,0.492985819339515,0.492985819339515,
b1.1_float64,10,adaptive_tm,diagnostic_m,8,,,0.4354497825052335,0.4354497825052335,
b1.1_float64,11,fixed_tm_a0,48,4,48,True,0.6214496469144664,0.6214496469144666,True
b1.1_float64,11,fixed_tm_a0,80,8,80,True,0.545157726958122,0.5451577269581223,True
b1.1_float64,11,fixed_tm_a0,144,16,144,True,0.4729829433666781,0.47298294336667834,True
b1.1_float64,11,fourier_low,48,4,48,True,0.5832741051200709,0.5832741051200712,True
b1.1_float64,11,fourier_low,80,8,80,True,0.5211039438077987,0.521103943807799,True
b1.1_float64,11,fourier_low,144,16,144,True,0.35423342145406633,0.3542334214540668,True
b1.1_float64,11,adaptive_tm,48,3,43,True,0.6193459929973771,0.6193459929973772,True
b1.1_float64,11,adaptive_tm,80,7,79,True,0.5236997034847702,0.5236997034847704,True
b1.1_float64,11,adaptive_tm,144,14,142,True,0.45720442943340167,0.4572044294334019,True
b1.1_float64,11,fixed_tm_a0,diagnostic_m,2,,,0.7591497754326395,0.7591497754326395,
b1.1_float64,11,adaptive_tm,diagnostic_m,2,,,0.6560307884735882,0.6560307884735882,
b1.1_float64,11,fixed_tm_a0,diagnostic_m,4,,,0.6214496469144664,0.6214496469144664,
b1.1_float64,11,adaptive_tm,diagnostic_m,4,,,0.5928485249214401,0.5928485249214401,
b1.1_float64,11,fixed_tm_a0,diagnostic_m,8,,,0.545157726958122,0.545157726958122,
b1.1_float64,11,adaptive_tm,diagnostic_m,8,,,0.517454239367138,0.517454239367138,
b1.5_float64,0,fixed_tm_a0,48,4,48,True,0.9104180614307449,0.910418061430745,True
b1.5_float64,0,fixed_tm_a0,80,8,80,True,0.8261085008652806,0.8261085008652808,True
b1.5_float64,0,fixed_tm_a0,144,16,144,True,0.7593445025991061,0.7593445025991064,True
b1.5_float64,0,fourier_low,48,4,48,True,0.9183279694296816,0.9183279694296818,True
b1.5_float64,0,fourier_low,80,8,80,True,0.8249176310985402,0.8249176310985404,True
b1.5_float64,0,fourier_low,144,16,144,True,0.6920134369106943,0.6920134369106944,True
b1.5_float64,0,adaptive_tm,48,3,43,True,0.876019376291993,0.876019376291993,True
b1.5_float64,0,adaptive_tm,80,7,79,True,0.8169529249741583,0.8169529249741583,True
b1.5_float64,0,adaptive_tm,144,14,142,True,0.7366410360400609,0.736641036040061,True
b1.5_float64,0,fixed_tm_a0,diagnostic_m,2,,,0.9643711756807245,0.9643711756807245,
b1.5_float64,0,adaptive_tm,diagnostic_m,2,,,0.9054330655348687,0.9054330655348687,
b1.5_float64,0,fixed_tm_a0,diagnostic_m,4,,,0.9104180614307449,0.9104180614307449,
b1.5_float64,0,adaptive_tm,diagnostic_m,4,,,0.8644498644026204,0.8644498644026204,
b1.5_float64,0,fixed_tm_a0,diagnostic_m,8,,,0.8261085008652806,0.8261085008652806,
b1.5_float64,0,adaptive_tm,diagnostic_m,8,,,0.8021379118739732,0.8021379118739732,
b1.5_float64,1,fixed_tm_a0,48,4,48,True,0.9825867575402771,0.9825867575402771,True
b1.5_float64,1,fixed_tm_a0,80,8,80,True,0.9086520907157034,0.9086520907157036,True
b1.5_float64,1,fixed_tm_a0,144,16,144,True,0.6918007236908714,0.6918007236908714,True
b1.5_float64,1,fourier_low,48,4,48,True,0.9716185177563206,0.9716185177563206,True
b1.5_float64,1,fourier_low,80,8,80,True,0.9060178854750462,0.9060178854750464,True
b1.5_float64,1,fourier_low,144,16,144,True,0.7098815428766716,0.7098815428766718,True
b1.5_float64,1,adaptive_tm,48,3,43,True,0.8824550340918254,0.8824550340918254,True
b1.5_float64,1,adaptive_tm,80,7,79,True,0.7844566739374557,0.7844566739374559,True
b1.5_float64,1,adaptive_tm,144,14,142,True,0.6945072739004199,0.6945072739004202,True
b1.5_float64,1,fixed_tm_a0,diagnostic_m,2,,,0.9934688453782463,0.9934688453782463,
b1.5_float64,1,adaptive_tm,diagnostic_m,2,,,0.9315522994335749,0.9315522994335749,
b1.5_float64,1,fixed_tm_a0,diagnostic_m,4,,,0.9825867575402771,0.9825867575402771,
b1.5_float64,1,adaptive_tm,diagnostic_m,4,,,0.8435613830794727,0.8435613830794727,
b1.5_float64,1,fixed_tm_a0,diagnostic_m,8,,,0.9086520907157034,0.9086520907157034,
b1.5_float64,1,adaptive_tm,diagnostic_m,8,,,0.7683848121839018,0.7683848121839018,
b1.5_float64,2,fixed_tm_a0,48,4,48,True,0.9475883275580107,0.9475883275580106,True
b1.5_float64,2,fixed_tm_a0,80,8,80,True,0.8876619951979219,0.8876619951979219,True
b1.5_float64,2,fixed_tm_a0,144,16,144,True,0.832439375839604,0.832439375839604,True
b1.5_float64,2,fourier_low,48,4,48,True,0.9525833211812768,0.9525833211812769,True
b1.5_float64,2,fourier_low,80,8,80,True,0.9010391456691618,0.901039145669162,True
b1.5_float64,2,fourier_low,144,16,144,True,0.743485740507164,0.7434857405071642,True
b1.5_float64,2,adaptive_tm,48,3,43,True,0.9102590970202553,0.9102590970202553,True
b1.5_float64,2,adaptive_tm,80,7,79,True,0.867179468224194,0.8671794682241941,True
b1.5_float64,2,adaptive_tm,144,14,142,True,0.8042178465255488,0.804217846525549,True
b1.5_float64,2,fixed_tm_a0,diagnostic_m,2,,,0.966927506924596,0.966927506924596,
b1.5_float64,2,adaptive_tm,diagnostic_m,2,,,0.9276582546266989,0.9276582546266989,
b1.5_float64,2,fixed_tm_a0,diagnostic_m,4,,,0.9475883275580107,0.9475883275580107,
b1.5_float64,2,adaptive_tm,diagnostic_m,4,,,0.899855295840301,0.899855295840301,
b1.5_float64,2,fixed_tm_a0,diagnostic_m,8,,,0.8876619951979219,0.8876619951979219,
b1.5_float64,2,adaptive_tm,diagnostic_m,8,,,0.8593243673520385,0.8593243673520385,
b1.5_float64,3,fixed_tm_a0,48,4,48,True,0.9400528091028717,0.9400528091028717,True
b1.5_float64,3,fixed_tm_a0,80,8,80,True,0.9091711364293162,0.9091711364293164,True
b1.5_float64,3,fixed_tm_a0,144,16,144,True,0.8554525669236087,0.8554525669236088,True
b1.5_float64,3,fourier_low,48,4,48,True,0.9455978750073568,0.9455978750073568,True
b1.5_float64,3,fourier_low,80,8,80,True,0.8723620689130329,0.8723620689130329,True
b1.5_float64,3,fourier_low,144,16,144,True,0.7782080286387666,0.7782080286387666,True
b1.5_float64,3,adaptive_tm,48,3,43,True,0.929083253675317,0.9290832536753171,True
b1.5_float64,3,adaptive_tm,80,7,79,True,0.8874254416861078,0.8874254416861078,True
b1.5_float64,3,adaptive_tm,144,14,142,True,0.811302585861893,0.8113025858618932,True
b1.5_float64,3,fixed_tm_a0,diagnostic_m,2,,,0.9664903839065612,0.9664903839065612,
b1.5_float64,3,adaptive_tm,diagnostic_m,2,,,0.9376295701512751,0.9376295701512751,
b1.5_float64,3,fixed_tm_a0,diagnostic_m,4,,,0.9400528091028717,0.9400528091028717,
b1.5_float64,3,adaptive_tm,diagnostic_m,4,,,0.9185260729177517,0.9185260729177517,
b1.5_float64,3,fixed_tm_a0,diagnostic_m,8,,,0.9091711364293162,0.9091711364293162,
b1.5_float64,3,adaptive_tm,diagnostic_m,8,,,0.8770570368791752,0.8770570368791752,
b1.5_float64,4,fixed_tm_a0,48,4,48,True,0.9065344066899237,0.906534406689924,True
b1.5_float64,4,fixed_tm_a0,80,8,80,True,0.8108882519163021,0.8108882519163023,True
b1.5_float64,4,fixed_tm_a0,144,16,144,True,0.7196167454796967,0.7196167454796969,True
b1.5_float64,4,fourier_low,48,4,48,True,0.946603990480634,0.946603990480634,True
b1.5_float64,4,fourier_low,80,8,80,True,0.8708061892854326,0.8708061892854327,True
b1.5_float64,4,fourier_low,144,16,144,True,0.6792044938903474,0.6792044938903475,True
b1.5_float64,4,adaptive_tm,48,3,43,True,0.8923759033897913,0.8923759033897913,True
b1.5_float64,4,adaptive_tm,80,7,79,True,0.7931052691509074,0.7931052691509076,True
b1.5_float64,4,adaptive_tm,144,14,142,True,0.7117292435322248,0.7117292435322249,True
b1.5_float64,4,fixed_tm_a0,diagnostic_m,2,,,0.9636672867499103,0.9636672867499103,
b1.5_float64,4,adaptive_tm,diagnostic_m,2,,,0.9293804732883763,0.9293804732883763,
b1.5_float64,4,fixed_tm_a0,diagnostic_m,4,,,0.9065344066899237,0.9065344066899237,
b1.5_float64,4,adaptive_tm,diagnostic_m,4,,,0.858050549466517,0.858050549466517,
b1.5_float64,4,fixed_tm_a0,diagnostic_m,8,,,0.8108882519163021,0.8108882519163021,
b1.5_float64,4,adaptive_tm,diagnostic_m,8,,,0.7808150306233463,0.7808150306233463,
b1.5_float64,5,fixed_tm_a0,48,4,48,True,0.9137826431226521,0.9137826431226521,True
b1.5_float64,5,fixed_tm_a0,80,8,80,True,0.8866820962542029,0.8866820962542028,True
b1.5_float64,5,fixed_tm_a0,144,16,144,True,0.7788145941746355,0.7788145941746357,True
b1.5_float64,5,fourier_low,48,4,48,True,0.8822284145023918,0.8822284145023918,True
b1.5_float64,5,fourier_low,80,8,80,True,0.8624790475533317,0.8624790475533316,True
b1.5_float64,5,fourier_low,144,16,144,True,0.7378759841193049,0.7378759841193051,True
b1.5_float64,5,adaptive_tm,48,3,43,True,0.880478506516072,0.8804785065160721,True
b1.5_float64,5,adaptive_tm,80,7,79,True,0.8167483592246385,0.8167483592246385,True
b1.5_float64,5,adaptive_tm,144,14,142,True,0.7771952761918828,0.777195276191883,True
b1.5_float64,5,fixed_tm_a0,diagnostic_m,2,,,0.933431258913359,0.933431258913359,
b1.5_float64,5,adaptive_tm,diagnostic_m,2,,,0.9188906504103884,0.9188906504103884,
b1.5_float64,5,fixed_tm_a0,diagnostic_m,4,,,0.9137826431226521,0.9137826431226521,
b1.5_float64,5,adaptive_tm,diagnostic_m,4,,,0.8605066599187015,0.8605066599187015,
b1.5_float64,5,fixed_tm_a0,diagnostic_m,8,,,0.8866820962542029,0.8866820962542029,
b1.5_float64,5,adaptive_tm,diagnostic_m,8,,,0.81146325076723,0.81146325076723,
b1.5_float64,6,fixed_tm_a0,48,4,48,True,0.9372969723147936,0.9372969723147937,True
b1.5_float64,6,fixed_tm_a0,80,8,80,True,0.8796022307044421,0.8796022307044422,True
b1.5_float64,6,fixed_tm_a0,144,16,144,True,0.7871537767803383,0.7871537767803385,True
b1.5_float64,6,fourier_low,48,4,48,True,0.9371486698788529,0.937148669878853,True
b1.5_float64,6,fourier_low,80,8,80,True,0.9004463714680544,0.9004463714680545,True
b1.5_float64,6,fourier_low,144,16,144,True,0.7299753777027163,0.7299753777027165,True
b1.5_float64,6,adaptive_tm,48,3,43,True,0.9055315128513086,0.9055315128513086,True
b1.5_float64,6,adaptive_tm,80,7,79,True,0.8400520231783776,0.8400520231783777,True
b1.5_float64,6,adaptive_tm,144,14,142,True,0.7641309466767037,0.7641309466767038,True
b1.5_float64,6,fixed_tm_a0,diagnostic_m,2,,,0.9522935807987444,0.9522935807987444,
b1.5_float64,6,adaptive_tm,diagnostic_m,2,,,0.9350360687620138,0.9350360687620138,
b1.5_float64,6,fixed_tm_a0,diagnostic_m,4,,,0.9372969723147936,0.9372969723147936,
b1.5_float64,6,adaptive_tm,diagnostic_m,4,,,0.877327620893953,0.877327620893953,
b1.5_float64,6,fixed_tm_a0,diagnostic_m,8,,,0.8796022307044421,0.8796022307044421,
b1.5_float64,6,adaptive_tm,diagnostic_m,8,,,0.8306301713660071,0.8306301713660071,
b1.5_float64,7,fixed_tm_a0,48,4,48,True,0.936473138007343,0.9364731380073428,True
b1.5_float64,7,fixed_tm_a0,80,8,80,True,0.876503696229948,0.876503696229948,True
b1.5_float64,7,fixed_tm_a0,144,16,144,True,0.7509740403087097,0.7509740403087098,True
b1.5_float64,7,fourier_low,48,4,48,True,0.9309527860741811,0.9309527860741811,True
b1.5_float64,7,fourier_low,80,8,80,True,0.82377068354985,0.8237706835498501,True
b1.5_float64,7,fourier_low,144,16,144,True,0.7740121720177771,0.7740121720177774,True
b1.5_float64,7,adaptive_tm,48,3,43,True,0.8961738394319374,0.8961738394319376,True
b1.5_float64,7,adaptive_tm,80,7,79,True,0.8391444390538783,0.8391444390538783,True
b1.5_float64,7,adaptive_tm,144,14,142,True,0.7468217430189305,0.7468217430189306,True
b1.5_float64,7,fixed_tm_a0,diagnostic_m,2,,,0.9609865417611041,0.9609865417611041,
b1.5_float64,7,adaptive_tm,diagnostic_m,2,,,0.9229302478249948,0.9229302478249948,
b1.5_float64,7,fixed_tm_a0,diagnostic_m,4,,,0.936473138007343,0.936473138007343,
b1.5_float64,7,adaptive_tm,diagnostic_m,4,,,0.8823643654669512,0.8823643654669512,
b1.5_float64,7,fixed_tm_a0,diagnostic_m,8,,,0.876503696229948,0.876503696229948,
b1.5_float64,7,adaptive_tm,diagnostic_m,8,,,0.8272090900855837,0.8272090900855837,
b1.5_float64,8,fixed_tm_a0,48,4,48,True,0.9675040783265952,0.9675040783265954,True
b1.5_float64,8,fixed_tm_a0,80,8,80,True,0.9194943527110071,0.919494352711007,True
b1.5_float64,8,fixed_tm_a0,144,16,144,True,0.8253549259732692,0.8253549259732692,True
b1.5_float64,8,fourier_low,48,4,48,True,0.9680324278024367,0.9680324278024367,True
b1.5_float64,8,fourier_low,80,8,80,True,0.9086069271144501,0.9086069271144502,True
b1.5_float64,8,fourier_low,144,16,144,True,0.7932032209246573,0.7932032209246573,True
b1.5_float64,8,adaptive_tm,48,3,43,True,0.9392057967985138,0.9392057967985139,True
b1.5_float64,8,adaptive_tm,80,7,79,True,0.8980127761826164,0.8980127761826164,True
b1.5_float64,8,adaptive_tm,144,14,142,True,0.7969367885987101,0.7969367885987102,True
b1.5_float64,8,fixed_tm_a0,diagnostic_m,2,,,0.9780422707991961,0.9780422707991961,
b1.5_float64,8,adaptive_tm,diagnostic_m,2,,,0.9578121418607549,0.9578121418607549,
b1.5_float64,8,fixed_tm_a0,diagnostic_m,4,,,0.9675040783265952,0.9675040783265952,
b1.5_float64,8,adaptive_tm,diagnostic_m,4,,,0.9242890546865343,0.9242890546865343,
b1.5_float64,8,fixed_tm_a0,diagnostic_m,8,,,0.9194943527110071,0.9194943527110071,
b1.5_float64,8,adaptive_tm,diagnostic_m,8,,,0.8887041835985192,0.8887041835985192,
b1.5_float64,9,fixed_tm_a0,48,4,48,True,0.9730092110564403,0.9730092110564404,True
b1.5_float64,9,fixed_tm_a0,80,8,80,True,0.9101489755497412,0.9101489755497412,True
b1.5_float64,9,fixed_tm_a0,144,16,144,True,0.8223262438867944,0.8223262438867945,True
b1.5_float64,9,fourier_low,48,4,48,True,0.9481044232081346,0.9481044232081348,True
b1.5_float64,9,fourier_low,80,8,80,True,0.929026020815234,0.9290260208152339,True
b1.5_float64,9,fourier_low,144,16,144,True,0.8368264702903155,0.8368264702903156,True
b1.5_float64,9,adaptive_tm,48,3,43,True,0.9388455045021025,0.9388455045021025,True
b1.5_float64,9,adaptive_tm,80,7,79,True,0.8773227526142853,0.8773227526142853,True
b1.5_float64,9,adaptive_tm,144,14,142,True,0.8235247997594269,0.823524799759427,True
b1.5_float64,9,fixed_tm_a0,diagnostic_m,2,,,0.9874019539037762,0.9874019539037762,
b1.5_float64,9,adaptive_tm,diagnostic_m,2,,,0.960008020496406,0.960008020496406,
b1.5_float64,9,fixed_tm_a0,diagnostic_m,4,,,0.9730092110564403,0.9730092110564403,
b1.5_float64,9,adaptive_tm,diagnostic_m,4,,,0.9290468813198413,0.9290468813198413,
b1.5_float64,9,fixed_tm_a0,diagnostic_m,8,,,0.9101489755497412,0.9101489755497412,
b1.5_float64,9,adaptive_tm,diagnostic_m,8,,,0.8672690058689423,0.8672690058689423,
b1.5_float64,10,fixed_tm_a0,48,4,48,True,0.9402595156001725,0.9402595156001725,True
b1.5_float64,10,fixed_tm_a0,80,8,80,True,0.9057931394153681,0.9057931394153682,True
b1.5_float64,10,fixed_tm_a0,144,16,144,True,0.8414113131622163,0.8414113131622165,True
b1.5_float64,10,fourier_low,48,4,48,True,0.9531239599553198,0.9531239599553198,True
b1.5_float64,10,fourier_low,80,8,80,True,0.9000539058677729,0.9000539058677729,True
b1.5_float64,10,fourier_low,144,16,144,True,0.8012941080567864,0.8012941080567866,True
b1.5_float64,10,adaptive_tm,48,3,43,True,0.9296729264227273,0.9296729264227276,True
b1.5_float64,10,adaptive_tm,80,7,79,True,0.8774663163113177,0.8774663163113177,True
b1.5_float64,10,adaptive_tm,144,14,142,True,0.8025248923637018,0.802524892363702,True
b1.5_float64,10,fixed_tm_a0,diagnostic_m,2,,,0.9759458395999927,0.9759458395999927,
b1.5_float64,10,adaptive_tm,diagnostic_m,2,,,0.9509898509159765,0.9509898509159765,
b1.5_float64,10,fixed_tm_a0,diagnostic_m,4,,,0.9402595156001725,0.9402595156001725,
b1.5_float64,10,adaptive_tm,diagnostic_m,4,,,0.922556548373488,0.922556548373488,
b1.5_float64,10,fixed_tm_a0,diagnostic_m,8,,,0.9057931394153681,0.9057931394153681,
b1.5_float64,10,adaptive_tm,diagnostic_m,8,,,0.8692295148789229,0.8692295148789229,
b1.5_float64,11,fixed_tm_a0,48,4,48,True,0.938355164996922,0.9383551649969221,True
b1.5_float64,11,fixed_tm_a0,80,8,80,True,0.8799548961485126,0.8799548961485126,True
b1.5_float64,11,fixed_tm_a0,144,16,144,True,0.805677798191715,0.8056777981917151,True
b1.5_float64,11,fourier_low,48,4,48,True,0.9290511969038776,0.9290511969038777,True
b1.5_float64,11,fourier_low,80,8,80,True,0.8956489045178353,0.8956489045178355,True
b1.5_float64,11,fourier_low,144,16,144,True,0.7169564701607075,0.7169564701607078,True
b1.5_float64,11,adaptive_tm,48,3,43,True,0.9099203121952932,0.9099203121952932,True
b1.5_float64,11,adaptive_tm,80,7,79,True,0.8505438807906239,0.8505438807906238,True
b1.5_float64,11,adaptive_tm,144,14,142,True,0.7915044473684842,0.7915044473684844,True
b1.5_float64,11,fixed_tm_a0,diagnostic_m,2,,,0.961621591585414,0.961621591585414,
b1.5_float64,11,adaptive_tm,diagnostic_m,2,,,0.9335821391341479,0.9335821391341479,
b1.5_float64,11,fixed_tm_a0,diagnostic_m,4,,,0.938355164996922,0.938355164996922,
b1.5_float64,11,adaptive_tm,diagnostic_m,4,,,0.8944530441908451,0.8944530441908451,
b1.5_float64,11,fixed_tm_a0,diagnostic_m,8,,,0.8799548961485126,0.8799548961485126,
b1.5_float64,11,adaptive_tm,diagnostic_m,8,,,0.8351135834017258,0.8351135834017258,
b2.0_float64,0,fixed_tm_a0,48,4,48,True,0.9784513678028937,0.9784513678028938,True
b2.0_float64,0,fixed_tm_a0,80,8,80,True,0.9639972994760693,0.9639972994760695,True
b2.0_float64,0,fixed_tm_a0,144,16,144,True,0.8539896338925119,0.8539896338925121,True
b2.0_float64,0,fourier_low,48,4,48,True,0.973118153970416,0.9731181539704161,True
b2.0_float64,0,fourier_low,80,8,80,True,0.9615223646964304,0.9615223646964306,True
b2.0_float64,0,fourier_low,144,16,144,True,0.864202379636011,0.864202379636011,True
b2.0_float64,0,adaptive_tm,48,3,43,True,0.9492783601160788,0.9492783601160787,True
b2.0_float64,0,adaptive_tm,80,7,79,True,0.9057300045080188,0.9057300045080188,True
b2.0_float64,0,adaptive_tm,144,14,142,True,0.8132165259833035,0.8132165259833035,True
b2.0_float64,0,fixed_tm_a0,diagnostic_m,2,,,0.9808364540228975,0.9808364540228975,
b2.0_float64,0,adaptive_tm,diagnostic_m,2,,,0.9604628261002457,0.9604628261002457,
b2.0_float64,0,fixed_tm_a0,diagnostic_m,4,,,0.9784513678028937,0.9784513678028937,
b2.0_float64,0,adaptive_tm,diagnostic_m,4,,,0.9407914566298925,0.9407914566298925,
b2.0_float64,0,fixed_tm_a0,diagnostic_m,8,,,0.9639972994760693,0.9639972994760693,
b2.0_float64,0,adaptive_tm,diagnostic_m,8,,,0.8933262724476154,0.8933262724476154,
b2.0_float64,1,fixed_tm_a0,48,4,48,True,0.938608055153612,0.938608055153612,True
b2.0_float64,1,fixed_tm_a0,80,8,80,True,0.921551930144298,0.921551930144298,True
b2.0_float64,1,fixed_tm_a0,144,16,144,True,0.8537194647374943,0.8537194647374944,True
b2.0_float64,1,fourier_low,48,4,48,True,0.9406205502794445,0.9406205502794446,True
b2.0_float64,1,fourier_low,80,8,80,True,0.9247240313553413,0.9247240313553413,True
b2.0_float64,1,fourier_low,144,16,144,True,0.8688266733655166,0.8688266733655168,True
b2.0_float64,1,adaptive_tm,48,3,43,True,0.9277993806963756,0.9277993806963758,True
b2.0_float64,1,adaptive_tm,80,7,79,True,0.8999437727632253,0.8999437727632255,True
b2.0_float64,1,adaptive_tm,144,14,142,True,0.8448932407778905,0.8448932407778906,True
b2.0_float64,1,fixed_tm_a0,diagnostic_m,2,,,0.9812286712517004,0.9812286712517004,
b2.0_float64,1,adaptive_tm,diagnostic_m,2,,,0.9459727100588686,0.9459727100588686,
b2.0_float64,1,fixed_tm_a0,diagnostic_m,4,,,0.938608055153612,0.938608055153612,
b2.0_float64,1,adaptive_tm,diagnostic_m,4,,,0.9215052304138175,0.9215052304138175,
b2.0_float64,1,fixed_tm_a0,diagnostic_m,8,,,0.921551930144298,0.921551930144298,
b2.0_float64,1,adaptive_tm,diagnostic_m,8,,,0.8916491165701302,0.8916491165701302,
b2.0_float64,2,fixed_tm_a0,48,4,48,True,0.962201063325336,0.962201063325336,True
b2.0_float64,2,fixed_tm_a0,80,8,80,True,0.9428201372473815,0.9428201372473815,True
b2.0_float64,2,fixed_tm_a0,144,16,144,True,0.8462260863047886,0.8462260863047886,True
b2.0_float64,2,fourier_low,48,4,48,True,0.9528728203501169,0.9528728203501169,True
b2.0_float64,2,fourier_low,80,8,80,True,0.8996858023177747,0.8996858023177747,True
b2.0_float64,2,fourier_low,144,16,144,True,0.830389726600572,0.8303897266005721,True
b2.0_float64,2,adaptive_tm,48,3,43,True,0.9482966365370609,0.948296636537061,True
b2.0_float64,2,adaptive_tm,80,7,79,True,0.9066973835512289,0.9066973835512291,True
b2.0_float64,2,adaptive_tm,144,14,142,True,0.8542356605779415,0.8542356605779415,True
b2.0_float64,2,fixed_tm_a0,diagnostic_m,2,,,0.9948794195066297,0.9948794195066297,
b2.0_float64,2,adaptive_tm,diagnostic_m,2,,,0.9597894007667809,0.9597894007667809,
b2.0_float64,2,fixed_tm_a0,diagnostic_m,4,,,0.962201063325336,0.962201063325336,
