case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.01_float64,3,fixed_tm_a0,diagnostic_m,4,,,0.001045756677489432,0.001045756677489432,
b1.01_float64,3,adaptive_tm,diagnostic_m,4,,,0.0009006120741498894,0.0009006120741498894,
b1.01_float64,3,fixed_tm_a0,diagnostic_m,8,,,0.000954740975380485,0.000954740975380485,
b1.01_float64,3,adaptive_tm,diagnostic_m,8,,,0.0008939868219516732,0.0008939868219516732,
b1.01_float64,4,fixed_tm_a0,48,4,48,True,0.22605781747525028,0.22605781747525053,True
b1.01_float64,4,fixed_tm_a0,80,8,80,True,0.1903258317104548,0.19032583171045503,True
b1.01_float64,4,fixed_tm_a0,144,16,144,True,0.15849037200305097,0.15849037200305124,True
b1.01_float64,4,fourier_low,48,4,48,True,0.22313575140643127,0.2231357514064315,True
b1.01_float64,4,fourier_low,80,8,80,True,0.16267634375338905,0.16267634375338935,True
b1.01_float64,4,fourier_low,144,16,144,True,0.09408167798897975,0.09408167798898007,True
b1.01_float64,4,adaptive_tm,48,3,43,True,0.22279378578624381,0.22279378578624426,True
b1.01_float64,4,adaptive_tm,80,7,79,True,0.16416233419118637,0.16416233419118675,True
b1.01_float64,4,adaptive_tm,144,14,142,True,0.1464708033754991,0.1464708033754995,True
b1.01_float64,4,fixed_tm_a0,diagnostic_m,2,,,0.3397716322113902,0.3397716322113902,
b1.01_float64,4,adaptive_tm,diagnostic_m,2,,,0.26638645170223346,0.26638645170223346,
b1.01_float64,4,fixed_tm_a0,diagnostic_m,4,,,0.22605781747525028,0.22605781747525028,
b1.01_float64,4,adaptive_tm,diagnostic_m,4,,,0.18839803907560565,0.18839803907560565,
b1.01_float64,4,fixed_tm_a0,diagnostic_m,8,,,0.1903258317104548,0.1903258317104548,
b1.01_float64,4,adaptive_tm,diagnostic_m,8,,,0.16065699294209362,0.16065699294209362,
b1.01_float64,5,fixed_tm_a0,48,4,48,True,0.45729576474038136,0.45729576474038147,True
b1.01_float64,5,fixed_tm_a0,80,8,80,True,0.4295028662383889,0.4295028662383891,True
b1.01_float64,5,fixed_tm_a0,144,16,144,True,0.38075195361966296,0.3807519536196632,True
b1.01_float64,5,fourier_low,48,4,48,True,0.4808285753034961,0.48082857530349626,True
b1.01_float64,5,fourier_low,80,8,80,True,0.31183116410845974,0.31183116410846,True
b1.01_float64,5,fourier_low,144,16,144,True,0.21441313323708588,0.21441313323708627,True
b1.01_float64,5,adaptive_tm,48,3,43,True,0.4614275931863506,0.4614275931863506,True
b1.01_float64,5,adaptive_tm,80,7,79,True,0.3951791790225401,0.3951791790225403,True
b1.01_float64,5,adaptive_tm,144,14,142,True,0.3479784523927119,0.3479784523927121,True
b1.01_float64,5,fixed_tm_a0,diagnostic_m,2,,,0.5219518751907681,0.5219518751907681,
b1.01_float64,5,adaptive_tm,diagnostic_m,2,,,0.48477852612237926,0.48477852612237926,
b1.01_float64,5,fixed_tm_a0,diagnostic_m,4,,,0.45729576474038136,0.45729576474038136,
b1.01_float64,5,adaptive_tm,diagnostic_m,4,,,0.4443064367410735,0.4443064367410735,
b1.01_float64,5,fixed_tm_a0,diagnostic_m,8,,,0.4295028662383889,0.4295028662383889,
b1.01_float64,5,adaptive_tm,diagnostic_m,8,,,0.3755263551092426,0.3755263551092426,
b1.01_float64,6,fixed_tm_a0,48,4,48,True,0.0009316228655452339,0.0009316228655455598,True
b1.01_float64,6,fixed_tm_a0,80,8,80,True,0.0008510777367713434,0.0008510777367716695,True
b1.01_float64,6,fixed_tm_a0,144,16,144,True,0.0008137513731344913,0.0008137513731348174,True
b1.01_float64,6,fourier_low,48,4,48,True,0.0005383917280312579,0.0005383917280315842,True
b1.01_float64,6,fourier_low,80,8,80,True,0.000264933121692154,0.0002649331216924803,True
b1.01_float64,6,fourier_low,144,16,144,True,0.00013069113150498648,0.0001306911315053127,True
b1.01_float64,6,adaptive_tm,48,3,43,True,0.0008234145281759364,0.0008234145281762628,True
b1.01_float64,6,adaptive_tm,80,7,79,True,0.0007989682526618137,0.0007989682526621401,True
b1.01_float64,6,adaptive_tm,144,14,142,True,0.0007918123925371933,0.0007918123925375209,True
b1.01_float64,6,fixed_tm_a0,diagnostic_m,2,,,0.0011218705203757335,0.0011218705203757335,
b1.01_float64,6,adaptive_tm,diagnostic_m,2,,,0.0008688293459928053,0.0008688293459928053,
b1.01_float64,6,fixed_tm_a0,diagnostic_m,4,,,0.0009316228655452339,0.0009316228655452339,
b1.01_float64,6,adaptive_tm,diagnostic_m,4,,,0.0008032043048077457,0.0008032043048077457,
b1.01_float64,6,fixed_tm_a0,diagnostic_m,8,,,0.0008510777367713434,0.0008510777367713434,
b1.01_float64,6,adaptive_tm,diagnostic_m,8,,,0.000797316876198353,0.000797316876198353,
b1.01_float64,7,fixed_tm_a0,48,4,48,True,0.2671315294845615,0.26713152948456165,True
b1.01_float64,7,fixed_tm_a0,80,8,80,True,0.18509107759323484,0.18509107759323506,True
b1.01_float64,7,fixed_tm_a0,144,16,144,True,0.1582688128456867,0.15826881284568686,True
b1.01_float64,7,fourier_low,48,4,48,True,0.3138078818991309,0.31380788189913095,True
b1.01_float64,7,fourier_low,80,8,80,True,0.17933360090972036,0.17933360090972056,True
b1.01_float64,7,fourier_low,144,16,144,True,0.1488007703151399,0.1488007703151401,True
b1.01_float64,7,adaptive_tm,48,3,43,True,0.2191270515293646,0.21912705152936485,True
b1.01_float64,7,adaptive_tm,80,7,79,True,0.17756846824575628,0.17756846824575656,True
b1.01_float64,7,adaptive_tm,144,14,142,True,0.1475665535521557,0.14756655355215598,True
b1.01_float64,7,fixed_tm_a0,diagnostic_m,2,,,0.336386921189882,0.336386921189882,
b1.01_float64,7,adaptive_tm,diagnostic_m,2,,,0.24319324153296368,0.24319324153296368,
b1.01_float64,7,fixed_tm_a0,diagnostic_m,4,,,0.2671315294845615,0.2671315294845615,
b1.01_float64,7,adaptive_tm,diagnostic_m,4,,,0.20815634648393755,0.20815634648393755,
b1.01_float64,7,fixed_tm_a0,diagnostic_m,8,,,0.18509107759323484,0.18509107759323484,
b1.01_float64,7,adaptive_tm,diagnostic_m,8,,,0.16902128246755013,0.16902128246755013,
b1.01_float64,8,fixed_tm_a0,48,4,48,True,0.0980426113239438,0.09804261132394429,True
b1.01_float64,8,fixed_tm_a0,80,8,80,True,0.07981006047569522,0.07981006047569572,True
b1.01_float64,8,fixed_tm_a0,144,16,144,True,0.07682454705612894,0.07682454705612947,True
b1.01_float64,8,fourier_low,48,4,48,True,0.09798521093699608,0.09798521093699658,True
b1.01_float64,8,fourier_low,80,8,80,True,0.0627926567763325,0.06279265677633303,True
b1.01_float64,8,fourier_low,144,16,144,True,0.039513905238799635,0.039513905238800155,True
b1.01_float64,8,adaptive_tm,48,3,43,True,0.09330220951414527,0.09330220951414633,True
b1.01_float64,8,adaptive_tm,80,7,79,True,0.07013861742460953,0.07013861742461057,True
b1.01_float64,8,adaptive_tm,144,14,142,True,0.058049933342117964,0.05804993334211899,True
b1.01_float64,8,fixed_tm_a0,diagnostic_m,2,,,0.13333334772807257,0.13333334772807257,
b1.01_float64,8,adaptive_tm,diagnostic_m,2,,,0.1357924723969774,0.1357924723969774,
b1.01_float64,8,fixed_tm_a0,diagnostic_m,4,,,0.0980426113239438,0.0980426113239438,
b1.01_float64,8,adaptive_tm,diagnostic_m,4,,,0.08505154591764014,0.08505154591764014,
b1.01_float64,8,fixed_tm_a0,diagnostic_m,8,,,0.07981006047569522,0.07981006047569522,
b1.01_float64,8,adaptive_tm,diagnostic_m,8,,,0.06492661306699807,0.06492661306699807,
b1.01_float64,9,fixed_tm_a0,48,4,48,True,0.3962767066436871,0.3962767066436871,True
b1.01_float64,9,fixed_tm_a0,80,8,80,True,0.380372463609952,0.380372463609952,True
b1.01_float64,9,fixed_tm_a0,144,16,144,True,0.3498710111199469,0.34987101111994695,True
b1.01_float64,9,fourier_low,48,4,48,True,0.34323455957151483,0.3432345595715149,True
b1.01_float64,9,fourier_low,80,8,80,True,0.2364086785670914,0.23640867856709158,True
b1.01_float64,9,fourier_low,144,16,144,True,0.14506648229023722,0.14506648229023747,True
b1.01_float64,9,adaptive_tm,48,3,43,True,0.3717744025466944,0.371774402546695,True
b1.01_float64,9,adaptive_tm,80,7,79,True,0.3502504717165026,0.35025047171650325,True
b1.01_float64,9,adaptive_tm,144,14,142,True,0.33141429436438047,0.3314142943643811,True
b1.01_float64,9,fixed_tm_a0,diagnostic_m,2,,,0.4736021715623482,0.4736021715623482,
b1.01_float64,9,adaptive_tm,diagnostic_m,2,,,0.398690885563009,0.398690885563009,
b1.01_float64,9,fixed_tm_a0,diagnostic_m,4,,,0.3962767066436871,0.3962767066436871,
b1.01_float64,9,adaptive_tm,diagnostic_m,4,,,0.3614075283433804,0.3614075283433804,
b1.01_float64,9,fixed_tm_a0,diagnostic_m,8,,,0.380372463609952,0.380372463609952,
b1.01_float64,9,adaptive_tm,diagnostic_m,8,,,0.3497748128795326,0.3497748128795326,
b1.01_float64,10,fixed_tm_a0,48,4,48,True,0.3400636507640548,0.3400636507640554,True
b1.01_float64,10,fixed_tm_a0,80,8,80,True,0.3137720869150821,0.3137720869150828,True
b1.01_float64,10,fixed_tm_a0,144,16,144,True,0.28168517118245,0.28168517118245073,True
b1.01_float64,10,fourier_low,48,4,48,True,0.30085390858152516,0.30085390858152583,True
b1.01_float64,10,fourier_low,80,8,80,True,0.2681928104116868,0.26819281041168747,True
b1.01_float64,10,fourier_low,144,16,144,True,0.17090691963735227,0.17090691963735302,True
b1.01_float64,10,adaptive_tm,48,3,43,True,0.30627206249069255,0.30627206249069316,True
b1.01_float64,10,adaptive_tm,80,7,79,True,0.28338201089467224,0.28338201089467285,True
b1.01_float64,10,adaptive_tm,144,14,142,True,0.2697702909462979,0.26977029094629856,True
b1.01_float64,10,fixed_tm_a0,diagnostic_m,2,,,0.3684067201851262,0.3684067201851262,
b1.01_float64,10,adaptive_tm,diagnostic_m,2,,,0.33257979960277007,0.33257979960277007,
b1.01_float64,10,fixed_tm_a0,diagnostic_m,4,,,0.3400636507640548,0.3400636507640548,
b1.01_float64,10,adaptive_tm,diagnostic_m,4,,,0.2999403435303619,0.2999403435303619,
b1.01_float64,10,fixed_tm_a0,diagnostic_m,8,,,0.3137720869150821,0.3137720869150821,
b1.01_float64,10,adaptive_tm,diagnostic_m,8,,,0.28044334898339157,0.28044334898339157,
b1.01_float64,11,fixed_tm_a0,48,4,48,True,0.6357647679901042,0.6357647679901044,True
b1.01_float64,11,fixed_tm_a0,80,8,80,True,0.6120129766996043,0.6120129766996045,True
b1.01_float64,11,fixed_tm_a0,144,16,144,True,0.5361894828856135,0.5361894828856139,True
b1.01_float64,11,fourier_low,48,4,48,True,0.5333582661267722,0.5333582661267724,True
b1.01_float64,11,fourier_low,80,8,80,True,0.3950540995010112,0.39505409950101167,True
