beta,epsilon,seed,x0,parallel,transverse,scale,ks,cayley_real,cayley_imag,unit_error,max_abs,zeros
1.0001,0.0,0,-0.020169538113206015,0.04068278861744468,0.04068278861744468,0.023982463228683276,0.0802388560986137,0.19440868089262864,0.004703358642462945,2.220446049250313e-16,7305.034729357444,0
1.0001,0.0,1,0.0008466628115765592,0.028097934403322852,0.028097934403322852,0.00958822861476943,0.24196303396750285,-0.22892063135834703,-0.20817101817175318,2.220446049250313e-16,3497.0148048742067,0
1.0001,0.0,2,0.03188239627272241,0.026176929535523464,0.026176929535523464,0.013167595736984982,0.1842470117432909,-0.15808318054227394,-0.10770295963013624,2.220446049250313e-16,749.8092446585044,0
1.0001,0.0,3,0.030996751121030404,0.03752098422991812,0.03752098422991812,0.016181029554763186,0.21124920419125126,-0.005256808429598582,-0.23049590368639603,2.220446049250313e-16,1195.8757607430202,0
1.0001,0.0,4,-0.01973928072778232,0.04033357310779121,0.04033357310779121,0.02176044189907152,0.14891324875070633,0.15634715615996633,-0.11137567496608161,2.220446049250313e-16,3082.326734525476,0
1.0001,0.0,5,-0.008651248833624227,0.02791594753945525,0.02791594753945525,0.010386299048124405,0.24765393288978838,-0.20657414128530782,0.1979083838540861,2.220446049250313e-16,10699.957729656971,0
1.0001,0.0,6,0.003916784972394212,0.036846638945686884,0.036846638945686884,0.019995651927754318,0.1267621250663168,0.13087855341053975,-0.07300192463545702,2.220446049250313e-16,3844.1532323491224,0
1.0001,0.0,7,0.01398160968763851,0.03991114004837628,0.03991114004837628,0.022801229498860244,0.1324733959774102,0.16631242983009772,-0.11464124607490518,2.220446049250313e-16,3584.1731722799223,0
1.0001,0.0,8,0.03684189803507904,0.061225447761695924,0.061225447761695924,0.02991351509108244,0.13517445411493684,0.32405106239224796,0.11514502934675927,2.220446049250313e-16,158342.82434951974,0
1.0001,0.0,9,-0.06887335287537791,0.04159907324006355,0.04159907324006355,0.020118816599686864,0.213310222402877,0.1091513570259909,0.22401287554965443,2.220446049250313e-16,974.0853180244771,0
1.0001,0.0,10,0.031703383229634854,0.031053487430801514,0.031053487430801514,0.007766032382079746,0.2879988289126412,-0.1458044794518148,0.2785990580738699,2.220446049250313e-16,1133.061203406089,0
1.0001,0.0,11,-0.0031565035452126317,0.023034310872463097,0.023034310872463097,0.008835682700140783,0.25014001546467246,-0.25037486422669863,0.2314718795384227,2.220446049250313e-16,282.2064376044814,0
1.0001,0.0,12,0.016294528268813845,0.051333771463619365,0.051333771463619365,0.02802244019244008,0.2022186175138394,0.21837408735364194,0.23968598056967838,2.220446049250313e-16,3949.712227452606,0
1.0001,0.0,13,0.044980910275017306,0.028395994241589503,0.028395994241589503,0.012135183792881737,0.11897990829479332,-0.1371890706024923,0.06937440875214203,2.220446049250313e-16,1338.2095796102083,0
1.0001,0.0,14,0.04311956874861248,0.043817436248857596,0.043817436248857596,0.024481169972896965,0.08114381422635031,0.22081980561119346,0.03219333051796008,2.220446049250313e-16,3968.4015743659716,0
1.0001,0.0,15,-0.012591129454458163,0.031206754367811014,0.031206754367811014,0.01621555185667011,0.10706684376532416,-0.03237226267216341,-0.06639725097102142,2.220446049250313e-16,2504.6640726751257,0
1.0001,0.0,16,0.007976666660408496,0.047755534727598706,0.047755534727598706,0.026098591970659807,0.17503148508526933,0.251752591585736,-0.1603475529167139,2.220446049250313e-16,14675.907395049726,0
1.0001,0.0,17,-0.010862459013757608,0.022849339986517034,0.022849339986517034,0.0072460672229900025,0.18837102860352106,-0.2710510128741481,-0.14849439939883996,2.220446049250313e-16,1014.5412199138542,0
1.0001,0.0,18,-0.24603494802468137,0.026339809564030092,0.026339809564030092,0.01265570622991357,0.16006343637070464,-0.14672196555783554,0.17804735757096057,2.220446049250313e-16,2748.5267209968024,0
1.0001,0.0,19,0.010725698610572574,0.03064969537269692,0.03064969537269692,0.012406763664456085,0.082869609779608,-0.16647796032608494,-0.007820126967366257,2.220446049250313e-16,1897.0267372030307,0
1.0001,0.0,20,-0.0015251009923183015,0.019908020894561663,0.019908020894561663,0.006839119172508737,0.2672685556586767,-0.2869849895943506,0.3259845111266764,2.220446049250313e-16,1220.4142779608276,0
