key,beta,dtype,scale_name,scale,start,stop,n,k,ell,real,imag,theory,error
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,0,1.0,0.0,1.0,0.0
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,1,-0.9649290612392336,-0.007212529073874429,-0.9659517806143619,0.007284677793955392
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,2,0.9321142644965956,0.012768521389751323,0.9330628424720564,0.012803708004170756
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,3,-0.9010386924556277,-0.016980800204644292,-0.9012937141109808,0.016982715084306946
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,4,0.8705498496900159,0.020285481844148065,0.8706062680020336,0.02028556029975982
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,5,-0.8412292702366303,-0.02317304162734237,-0.8409636747905886,0.02317456362487761
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,6,0.8125015545830439,0.02533815084776074,0.8123303590959663,0.02533872917647359
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,7,-0.7845545861913538,-0.02758553540739925,-0.7846719568158528,0.027585785099872962
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,0,8,0.757998016216446,0.029432329833955613,0.7579552738844286,0.029432360869656716
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,0,-0.9649290612392336,0.007212529073874429,-0.9659517806143619,0.007284677793955392
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,1,1.0,0.0,1.0,0.0
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,2,-0.9649290612392339,-0.007212529073874428,-0.9659517806143619,0.007284677793955345
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,3,0.9321142644965958,0.012768521389751332,0.9330628424720564,0.01280370800417075
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,4,-0.9010386924556275,-0.016980800204644313,-0.9012937141109808,0.01698271508430697
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,5,0.870549849690016,0.020285481844148058,0.8706062680020336,0.020285560299759812
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,6,-0.8412292702366305,-0.02317304162734236,-0.8409636747905886,0.0231745636248776
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,7,0.8125015545830439,0.025338150847760782,0.8123303590959663,0.025338729176473635
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,1,8,-0.7845545861913538,-0.02758553540739925,-0.7846719568158528,0.027585785099872962
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,0,0.9321142644965956,-0.012768521389751323,0.9330628424720564,0.012803708004170756
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,1,-0.9649290612392339,0.007212529073874428,-0.9659517806143619,0.007284677793955345
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,2,1.0,0.0,1.0,0.0
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,3,-0.9649290612392339,-0.007212529073874429,-0.9659517806143619,0.007284677793955345
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,4,0.9321142644965956,0.012768521389751321,0.9330628424720564,0.012803708004170754
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,5,-0.9010386924556274,-0.01698080020464427,-0.9012937141109808,0.01698271508430693
b1.0001_float32,1.0001,float32,fixed,1.0,0,200000,200000,2,6,0.8705498496900159,0.020285481844148055,0.8706062680020336,0.02028556029975981
