beta,name,initial,t,error
1.0001,q0.0,near,4,9.355242904590968e-09
1.0001,q0.0,near,8,8.783217393697102e-09
1.0001,q0.0,near,16,7.837076272062354e-09
1.0001,q0.0,near,32,6.652766005936987e-09
1.0001,q0.0,near,64,8.386041782686557e-09
1.0001,q0.0,near,128,2.3412075849640055
1.0001,q0.0,near,256,2.350619411370405
1.0001,q0.0,near,512,0.008815555368998943
1.0001,q0.0,near,1024,0.002047784985698586
1.0001,q0.0,near,2048,1.918102201362802e-06
1.0001,q0.0,near,4096,0.0
1.0001,q0.0,near,8192,0.0
1.0001,q0.0,near,16384,0.0
1.0001,q0.0,near,32768,0.0
1.0001,q0.0,near,65536,0.0
1.0001,q0.0,near,131072,0.0
1.0001,q0.0,near,200000,0.0
1.0001,q0.0,independent,1,1.031831767272236
1.0001,q0.0,independent,2,0.9970396045612229
1.0001,q0.0,independent,4,0.9309303696956467
1.0001,q0.0,independent,8,0.8115571640596483
1.0001,q0.0,independent,16,0.6167376742782449
1.0001,q0.0,independent,32,0.35613438787313567
1.0001,q0.0,independent,64,0.11873460833222148
1.0001,q0.0,independent,128,0.013196952584956666
1.0001,q0.0,independent,256,0.00016303407814404695
1.0001,q0.0,independent,512,2.4886075209227818e-08
1.0001,q0.0,independent,1024,6.510615824276073e-16
1.0001,q0.0,independent,2048,0.0
1.0001,q0.0,independent,4096,0.0
1.0001,q0.0,independent,8192,0.0
1.0001,q0.0,independent,16384,0.0
1.0001,q0.0,independent,32768,0.0
1.0001,q0.0,independent,65536,0.0
1.0001,q0.0,independent,131072,0.0
1.0001,q0.0,independent,200000,0.0
1.0001,q0.25,near,1,9.916684758400891e-09
1.0001,q0.25,near,2,9.836094152134954e-09
1.0001,q0.25,near,4,9.683062227348664e-09
1.0001,q0.25,near,8,9.409547450364653e-09
1.0001,q0.25,near,16,8.99466136169895e-09
1.0001,q0.25,near,32,8.763216781884925e-09
1.0001,q0.25,near,64,1.4550570097181936e-08
1.0001,q0.25,near,128,11.520233297543088
1.0001,q0.25,near,256,1.385148576056713
1.0001,q0.25,near,512,0.0020451597020554792
1.0001,q0.25,near,1024,4.551036249967327e-09
1.0001,q0.25,near,2048,0.0
1.0001,q0.25,near,4096,0.0
1.0001,q0.25,near,8192,0.0
1.0001,q0.25,near,16384,0.0
1.0001,q0.25,near,32768,0.0
1.0001,q0.25,near,65536,0.0
1.0001,q0.25,near,131072,0.0
1.0001,q0.25,near,200000,0.0
1.0001,q0.25,independent,1,1.0407545502830367
1.0001,q0.25,independent,2,1.0143584661221046
1.0001,q0.25,independent,4,0.9635538864841879
1.0001,q0.25,independent,8,0.8694386787333053
1.0001,q0.25,independent,16,0.7078567796785846
1.0001,q0.25,independent,32,0.4691470808590607
1.0001,q0.25,independent,64,0.20604123867628701
1.0001,q0.25,independent,128,0.0397356675793305
1.0001,q0.25,independent,256,0.0014778573349567925
1.0001,q0.25,independent,512,2.0445817845746884e-06
1.0001,q0.25,independent,1024,3.916135418302058e-12
1.0001,q0.25,independent,2048,0.0
1.0001,q0.25,independent,4096,0.0
1.0001,q0.25,independent,8192,0.0
1.0001,q0.25,independent,16384,0.0
1.0001,q0.25,independent,32768,0.0
1.0001,q0.25,independent,65536,0.0
1.0001,q0.25,independent,131072,0.0
1.0001,q0.25,independent,200000,0.0
1.0001,q0.75,near,1,1.0088935219793879e-08
1.0001,q0.75,near,2,1.0180763349299158e-08
1.0001,q0.75,near,4,1.0373565721419658e-08
1.0001,q0.75,near,8,1.07993992603489e-08
1.0001,q0.75,near,16,1.184803550445542e-08
1.0001,q0.75,near,32,1.5205016398531604e-08
1.0001,q0.75,near,64,4.3805272681276793e-08
1.0001,q0.75,near,128,196.5062595639407
1.0001,q0.75,near,256,6.028339280217801
1.0001,q0.75,near,512,1.8088423867091088
1.0001,q0.75,near,1024,680.4337484267772
1.0001,q0.75,near,2048,1.6348062732259927
1.0001,q0.75,near,4096,36.9872525716036
1.0001,q0.75,near,8192,4.587480073105294e-14
1.0001,q0.75,near,16384,0.0
1.0001,q0.75,near,32768,0.0
1.0001,q0.75,near,65536,0.0
1.0001,q0.75,near,131072,0.0
1.0001,q0.75,near,200000,0.0
1.0001,q0.75,independent,1,1.0588322633064984
1.0001,q0.75,independent,2,1.0499039409084445
1.0001,q0.75,independent,4,1.0322710855029067
1.0001,q0.75,independent,8,0.9978834922112508
1.0001,q0.75,independent,16,0.9324883599168254
1.0001,q0.75,independent,32,0.8142190590977942
1.0001,q0.75,independent,64,0.6206558021312902
1.0001,q0.75,independent,128,0.36047997061196113
1.0001,q0.75,independent,256,0.12153596086117682
1.0001,q0.75,independent,512,0.013812837904527347
1.0001,q0.75,independent,1024,0.00017853206434935605
1.0001,q0.75,independent,2048,2.991829850427068e-08
1.0001,q0.75,independent,4096,6.009799222408682e-16
1.0001,q0.75,independent,8192,0.0
