beta,gamma0,x,empirical,theoretical
0.5,0.1,-13.440840288838595,0.001,0.00118312330729603
0.5,0.1,-2.661758886541622,0.00599,0.005973635633201579
0.5,0.1,-1.411816767172265,0.01098,0.011258976810593235
0.5,0.1,-0.9789511696672293,0.01597,0.016230085646150583
0.5,0.1,-0.7535504814600384,0.02096,0.021072254252655964
0.5,0.1,-0.6082062498848856,0.02595,0.026087571855393288
0.5,0.1,-0.5144015302501604,0.03094,0.030817420167105314
0.5,0.1,-0.4420505083849375,0.03593,0.035821823922612794
0.5,0.1,-0.3876815662330104,0.04092,0.04079401321803655
0.5,0.1,-0.3447521073031294,0.04591,0.04580774015162026
0.5,0.1,-0.3116473463408434,0.0509,0.050595943298763935
0.5,0.1,-0.2838299326302185,0.05589,0.05545929203401434
0.5,0.1,-0.25812253508490424,0.06088,0.06085492248808888
0.5,0.1,-0.23673726841902323,0.06587,0.06620123360155289
0.5,0.1,-0.21958387593252252,0.07086,0.0712077923682291
0.5,0.1,-0.20451457561253222,0.07585,0.07626255246664015
0.5,0.1,-0.19250187018920178,0.08084,0.08082518547964129
0.5,0.1,-0.18134526381622873,0.08583,0.0855679012439402
0.5,0.1,-0.1706950210953887,0.09082,0.09063054949742372
0.5,0.1,-0.16077910626969183,0.09581,0.09589677350768372
0.5,0.1,-0.1525972639408679,0.1008,0.10070988271266018
0.5,0.1,-0.14500763551113993,0.10579,0.10561097567599492
0.5,0.1,-0.13788636025970036,0.11078,0.11064577919276658
0.5,0.1,-0.1318652783138837,0.11577,0.11527585704296295
0.5,0.1,-0.1262440059744563,0.12076,0.11994514860700567
0.5,0.1,-0.12086291563111869,0.12575,0.12476460322134308
0.5,0.1,-0.11576885745465046,0.13074,0.12967729869836542
0.5,0.1,-0.11109279651071902,0.13573,0.13451903156579925
0.5,0.1,-0.10631842898714572,0.14072,0.1398252353749746
0.5,0.1,-0.10240542772979622,0.14571,0.1444743506665988
0.5,0.1,-0.09842121486621079,0.1507,0.14951245157540055
0.5,0.1,-0.09479741831601012,0.15569,0.1543849702662718
0.5,0.1,-0.09152517867899133,0.16068,0.1590422704506657
0.5,0.1,-0.08830408770741026,0.16567,0.1638843175867183
0.5,0.1,-0.08513178274341558,0.17066,0.168921861539036
0.5,0.1,-0.08219920162943739,0.17565,0.17383368657108095
0.5,0.1,-0.07930154856108726,0.18064,0.17894499908193018
0.5,0.1,-0.07659044651153733,0.18563,0.18397546936859793
0.5,0.1,-0.07427502901857633,0.19062,0.18847390524085617
