stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,0.9,0.1,3,3,float64,0,,,0,28744.96496375097,3.478870128592604e-05
A,0.9,0.1,3,3,float32,0,,,0,28790.5546875,3.473361464934044e-05
A,0.9,0.1,3,4,float64,0,,,0,402128.9541000921,0.00017947398739681653
A,0.9,0.1,3,4,float32,0,,,0,402128.96875,0.00017945369216398888
A,0.9,0.1,3,5,float64,0,,,0,321326.87024047645,0.0006217214482271416
A,0.9,0.1,3,5,float32,0,,,0,321326.875,0.0006217201563973873
A,0.9,0.1,3,6,float64,0,,,0,5387.0800781926855,0.00029372094355362144
A,0.9,0.1,3,6,float32,0,,,0,5387.080078125,0.0002937754008431881
A,0.9,0.1,3,7,float64,0,,,0,19115.558278973826,5.2313407983950455e-05
A,0.9,0.1,3,7,float32,0,,,0,19092.5,5.2376589502856064e-05
A,0.9,0.1,3,8,float64,0,,,0,19363.174455821205,0.000258571933665408
A,0.9,0.1,3,8,float32,0,,,0,19363.173828125,0.00025843381486545525
A,0.9,0.1,3,9,float64,0,,,0,55720.822872725876,0.0006018284117572659
A,0.9,0.1,3,9,float32,0,,,0,55720.82421875,0.0006019632008413822
A,0.9,1.0,4,0,float64,0,,,0,32253.99643244723,4.8503112050068964e-05
A,0.9,1.0,4,0,float32,0,,,0,32253.99609375,4.8474469457104874e-05
A,0.9,1.0,4,1,float64,0,,,0,329890.7764978995,5.166929440081347e-06
A,0.9,1.0,4,1,float32,0,,,0,329890.78125,5.1697108407466885e-06
A,0.9,1.0,4,2,float64,0,,,0,77380.0136741255,3.9538080951473376e-05
A,0.9,1.0,4,2,float32,0,,,0,77380.015625,3.911257185329475e-05
A,0.9,1.0,4,3,float64,0,,,0,277924.834216184,4.408151557555584e-06
A,0.9,1.0,4,3,float32,0,,,0,277924.84375,4.486241612866593e-06
A,0.9,1.0,4,4,float64,0,,,0,141123.14468292668,7.086009897516732e-06
A,0.9,1.0,4,4,float32,0,,,0,141301.625,7.0770594735591885e-06
A,0.9,1.0,4,5,float64,0,,,0,68514.49179457637,3.1647376839583075e-05
A,0.9,1.0,4,5,float32,0,,,0,68514.4921875,3.1634173121020126e-05
A,0.9,1.0,4,6,float64,0,,,0,157349.1260078884,1.329461133559029e-05
A,0.9,1.0,4,6,float32,0,,,0,157349.125,1.3275942530199814e-05
A,0.9,1.0,4,7,float64,0,,,0,129049.21394371342,1.0425144059134084e-05
A,0.9,1.0,4,7,float32,0,,,0,129049.2109375,1.0446706090405655e-05
A,0.9,1.0,4,8,float64,0,,,0,30499.723985634617,6.451575590382674e-05
A,0.9,1.0,4,8,float32,0,,,0,30499.724609375,6.416239615525399e-05
A,0.9,1.0,4,9,float64,0,,,0,57761.52812200994,2.8560703552837907e-05
A,0.9,1.0,4,9,float32,0,,,0,57761.52734375,2.8534731592699814e-05
A,0.9,10.0,5,0,float64,0,,,0,44009682.66105313,1.4145524941611143e-05
A,0.9,10.0,5,0,float32,0,,,0,44009684.0,1.4571331702128987e-05
A,0.9,10.0,5,1,float64,0,,,0,1260266.1430775044,9.419267247956498e-06
A,0.9,10.0,5,1,float32,0,,,0,1260266.125,9.524818283423997e-06
A,0.9,10.0,5,2,float64,0,,,0,645427.1297016137,3.2990124799070486e-05
A,0.9,10.0,5,2,float32,0,,,0,645427.125,3.183286844254951e-05
A,0.9,10.0,5,3,float64,0,,,0,759870.2110574264,1.0159143224441891e-05
A,0.9,10.0,5,3,float32,0,,,0,759870.1875,9.429419238315973e-06
A,0.9,10.0,5,4,float64,0,,,0,247720.26548679682,5.586862932283054e-06
A,0.9,10.0,5,4,float32,0,,,0,247720.265625,5.710121017798997e-06
A,0.9,10.0,5,5,float64,0,,,0,632213.9820060816,1.7365666822755088e-05
A,0.9,10.0,5,5,float32,0,,,0,632214.0,1.8386028967753987e-05
A,0.9,10.0,5,6,float64,0,,,0,3125805.2291252874,2.5328676640512526e-05
A,0.9,10.0,5,6,float32,0,,,0,3125805.25,2.5737281662330247e-05
A,0.9,10.0,5,7,float64,0,,,0,433846.47924634925,3.835092781478977e-05
A,0.9,10.0,5,7,float32,0,,,0,433846.46875,3.7602613863541023e-05
A,0.9,10.0,5,8,float64,0,,,0,1028696.4045748673,9.721041074328696e-07
A,0.9,10.0,5,8,float32,0,,,0,2045985.375,4.887620388416281e-07
A,0.9,10.0,5,9,float64,0,,,0,721559.3422363049,2.135399136449223e-05
A,0.9,10.0,5,9,float32,0,,,0,721559.3125,2.189873463542824e-05
A,1.0,0.1,6,0,float64,0,,,0,89409.31041452827,1.118451753345795e-05
A,1.0,0.1,6,0,float32,0,,,0,88456.2734375,1.130502087853813e-05
A,1.0,0.1,6,1,float64,0,,,0,83750.21605754999,0.0005625180089250392
A,1.0,0.1,6,1,float32,0,,,0,83750.21875,0.0005619803893193165
A,1.0,0.1,6,2,float64,0,,,0,16731.65037761595,0.00026233257819852085
A,1.0,0.1,6,2,float32,0,,,0,16731.650390625,0.00026230414840178184
A,1.0,0.1,6,3,float64,0,,,0,40583.42094667758,2.4640603883518963e-05
A,1.0,0.1,6,3,float32,0,,,0,40886.80859375,2.4457765986696245e-05
A,1.0,0.1,6,4,float64,0,,,0,7931.026691477672,0.0005209845071556529
A,1.0,0.1,6,4,float32,0,,,0,7931.02685546875,0.0005210200932364017
A,1.0,0.1,6,5,float64,0,,,0,128343.12985947414,9.418498552760113e-05
A,1.0,0.1,6,5,float32,0,,,0,128343.1328125,9.413162735505409e-05
A,1.0,0.1,6,6,float64,0,,,0,21843.110758782528,4.57810249807622e-05
A,1.0,0.1,6,6,float32,0,,,0,21839.64453125,4.57882920681385e-05
A,1.0,0.1,6,7,float64,0,,,0,9047.147238160283,0.00011053207929556663
A,1.0,0.1,6,7,float32,0,,,0,9043.021484375,0.0001105825093130619
A,1.0,0.1,6,8,float64,0,,,0,5933.02543313906,0.0002942315182308253
A,1.0,0.1,6,8,float32,0,,,0,5933.025390625,0.0002942840245108158
A,1.0,0.1,6,9,float64,0,,,0,12168.994263178789,0.0002354139800193611
A,1.0,0.1,6,9,float32,0,,,0,12168.994140625,0.00023539463547272987
A,1.0,1.0,7,0,float64,0,,,0,286152.63348718116,7.395923853570352e-06
A,1.0,1.0,7,0,float32,0,,,0,286152.625,7.347264562085343e-06
A,1.0,1.0,7,1,float64,0,,,0,54208.35223856349,6.937199102408087e-05
A,1.0,1.0,7,1,float32,0,,,0,54208.3515625,6.942351790861778e-05
A,1.0,1.0,7,2,float64,0,,,0,227784.10453194307,4.015615942609685e-05
A,1.0,1.0,7,2,float32,0,,,0,227784.109375,4.0392087528928755e-05
A,1.0,1.0,7,3,float64,0,,,0,527411.4914136523,1.896052733485476e-06
A,1.0,1.0,7,3,float32,0,,,0,536585.125,1.8636372427494052e-06
A,1.0,1.0,7,4,float64,0,,,0,111973.18213214599,8.930709844312545e-06
A,1.0,1.0,7,4,float32,0,,,0,112397.625,8.896985326245499e-06
A,1.0,1.0,7,5,float64,0,,,0,61780.863300203695,3.18964357670648e-05
