stage,group,beta,gamma0,condition,seed,dtype,nonfinite,zero_count,max_abs,min_pole,first_failure_step,first_failure_index
B,wide,1.1,0.1,12,0,float64,0,0,4739853.706869184,2.10976975445476e-07,,
B,wide,1.1,0.1,12,1,float64,0,0,8083141.976815344,1.2371426882928915e-07,,
B,wide,1.1,0.1,12,2,float64,0,0,12414205.81589337,8.055287814556777e-08,,
B,wide,1.1,0.1,12,3,float64,0,0,3343233.6328133903,2.9911161170126377e-07,,
B,wide,1.1,0.1,12,4,float64,0,0,11393355.662961159,8.777045401586747e-08,,
B,wide,1.1,1.0,13,0,float64,0,0,1086028.062611215,9.207865196980691e-07,,
B,wide,1.1,1.0,13,1,float64,0,0,5998572.563146534,1.6670632718707168e-07,,
B,wide,1.1,1.0,13,2,float64,0,0,13202683.038148334,7.574218030548252e-08,,
B,wide,1.1,1.0,13,3,float64,0,0,3894879.7379618855,2.567473362802275e-07,,
B,wide,1.1,1.0,13,4,float64,0,0,3712045.9427136574,2.693932170672042e-07,,
B,wide,1.1,10.0,14,0,float64,0,0,7423882.805601751,1.3470040216567725e-07,,
B,wide,1.1,10.0,14,1,float64,0,0,12657564.411675246,7.900414078498841e-08,,
B,wide,1.1,10.0,14,2,float64,0,0,14877622.274527619,6.721504153262003e-08,,
B,wide,1.1,10.0,14,3,float64,0,0,5391439.0745668765,1.8547923597012073e-07,,
B,wide,1.1,10.0,14,4,float64,0,0,22603015.682008464,4.424188415619312e-08,,
B,wide,1.5,0.1,15,0,float64,0,0,5235137.593229314,1.910169471486256e-07,,
B,wide,1.5,0.1,15,1,float64,0,0,1315473720.6384017,7.601823615033254e-10,,
B,wide,1.5,0.1,15,2,float64,0,0,1010231.0455938006,9.898725688017862e-07,,
B,wide,1.5,0.1,15,3,float64,0,0,17241558.064159293,5.799939861717007e-08,,
B,wide,1.5,0.1,15,4,float64,0,0,22140352.76603673,4.5166398621176995e-08,,
B,wide,1.5,1.0,16,0,float64,0,0,4895669.930058132,2.042621365383468e-07,,
B,wide,1.5,1.0,16,1,float64,0,0,56771815.16201209,1.7614373959418117e-08,,
B,wide,1.5,1.0,16,2,float64,0,0,108509346.75125028,9.215795904182755e-09,,
B,wide,1.5,1.0,16,3,float64,0,0,6050035.726548434,1.6528827995188067e-07,,
B,wide,1.5,1.0,16,4,float64,0,0,8211168.32311295,1.2178534980478162e-07,,
B,wide,1.5,10.0,17,0,float64,0,0,4299585.697475013,2.3258054859809363e-07,,
B,wide,1.5,10.0,17,1,float64,0,0,96088620.48445141,1.0407059658490425e-08,,
B,wide,1.5,10.0,17,2,float64,0,0,14915099.842465341,6.704614863295433e-08,,
B,wide,1.5,10.0,17,3,float64,0,0,7868199.123025734,1.270938856379189e-07,,
B,wide,1.5,10.0,17,4,float64,0,0,9093974.812217146,1.099629172163219e-07,,
B,wide,2.0,0.1,18,0,float64,0,0,5463989.58452777,1.8301645532403654e-07,,
B,wide,2.0,0.1,18,1,float64,0,0,2077852.6784942206,4.812660741038144e-07,,
B,wide,2.0,0.1,18,2,float64,0,0,3518831.090832511,2.8418528064122484e-07,,
B,wide,2.0,0.1,18,3,float64,0,0,8367136.238714934,1.1951520839659224e-07,,
B,wide,2.0,0.1,18,4,float64,0,0,32402772.109085884,3.0861556865602324e-08,,
B,wide,2.0,1.0,19,0,float64,0,0,4820646.255938967,2.0744106632442083e-07,,
B,wide,2.0,1.0,19,1,float64,0,0,39152006.75258708,2.55414729366521e-08,,
B,wide,2.0,1.0,19,2,float64,0,0,18700654.23577784,5.3474065175862506e-08,,
B,wide,2.0,1.0,19,3,float64,0,0,5653292.977482248,1.7688805509230576e-07,,
B,wide,2.0,1.0,19,4,float64,0,0,42117930.32491246,2.3742857013786534e-08,,
B,wide,2.0,10.0,20,0,float64,0,0,6863902.311762329,1.4568971895556615e-07,,
B,wide,2.0,10.0,20,1,float64,0,0,17413865.458491966,5.7425503907637676e-08,,
B,wide,2.0,10.0,20,2,float64,0,0,5316010.113673976,1.8811100410687231e-07,,
B,wide,2.0,10.0,20,3,float64,0,0,180516674.591729,5.539654512887182e-09,,
B,wide,2.0,10.0,20,4,float64,0,0,11358987.644098267,8.80360144783765e-08,,
B,long,0.9999,1.0,21,0,float64,0,0,47158.3215403042,2.1205165221971356e-05,,
B,long,0.9999,1.0,21,1,float64,0,0,40349.61872990493,2.478338163469651e-05,,
B,long,0.9999,1.0,21,2,float64,0,0,59826.88359396996,1.671489370380641e-05,,
B,long,0.9999,1.0,21,3,float64,0,0,264691.4854425035,3.7779832560147497e-06,,
B,long,0.9999,1.0,21,4,float64,0,0,542390.6319551944,1.8436896602747055e-06,,
B,long,1.0,1.0,22,0,float64,0,0,779735.7984082291,1.2824856856497036e-06,,
B,long,1.0,1.0,22,1,float64,0,0,253973.96209748837,3.937411503729393e-06,,
B,long,1.0,1.0,22,2,float64,0,0,131925529.70700167,7.580033933862751e-09,,
B,long,1.0,1.0,22,3,float64,0,0,135588.46018403117,7.375258916697547e-06,,
B,long,1.0,1.0,22,4,float64,0,0,326019.3000430646,3.06730306398606e-06,,
B,long,1.0001,1.0,23,0,float64,0,0,384410.80273863534,2.601383709555094e-06,,
B,long,1.0001,1.0,23,1,float64,0,0,7958222.005624855,1.2565620810534028e-07,,
B,long,1.0001,1.0,23,2,float64,0,0,3995562.65074758,2.502776423884967e-07,,
B,long,1.0001,1.0,23,3,float64,0,0,2460471.578761727,4.064261536207425e-07,,
B,long,1.0001,1.0,23,4,float64,0,0,820403.5531751558,1.2189123219652487e-06,,
