source,metric,cutoff,n,slope,intercept,status
theory,estimated_scale,0.1,10,0.49066518082126404,0.4791965385040126,記述的評価
theory,lyapunov,0.1,10,0.47670627178625863,1.0514051913914568,記述的評価
orbit,estimated_scale,0.1,10,0.4918477946808527,0.4867625801650325,記述的評価
orbit,lyapunov,0.1,10,0.4769846668181357,1.0556642626879615,記述的評価
theory,estimated_scale,0.01,7,0.49831185335978967,0.5352369775623186,記述的評価
theory,lyapunov,0.01,7,0.4890759822628619,1.1426260693008412,記述的評価
orbit,estimated_scale,0.01,7,0.50205309187472,0.5618484460070261,記述的評価
orbit,lyapunov,0.01,7,0.49158992696647485,1.163659542364487,記述的評価
