stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
C,1.0001,0.017318949386946766,0,0,float64,0,,,0,7450.027078797543,0.00013422769923088218
C,1.0001,0.017318949386946766,0,0,float32,0,,,0,3413.286865234375,0.0002929727223257572
C,1.0001,0.017318949386946766,0,1,float64,0,,,0,2648.4034564430485,0.00037758595656689486
C,1.0001,0.017318949386946766,0,1,float32,0,,,0,3616.7666015625,0.0002764900538583248
C,1.0001,0.017318949386946766,0,2,float64,0,,,0,15369.964516942824,6.506195882804988e-05
C,1.0001,0.017318949386946766,0,2,float32,0,,,0,2157.76708984375,0.0004634420063833744
C,1.0001,0.017318949386946766,0,3,float64,0,,,0,1548.683324564397,0.0006457097104088927
C,1.0001,0.017318949386946766,0,3,float32,0,,,0,2157.76708984375,0.0004634420063833744
C,1.0001,0.017318949386946766,0,4,float64,0,,,0,1369.9619899343193,0.0007299471297304017
C,1.0001,0.017318949386946766,0,4,float32,0,,,0,3413.286865234375,0.0002929727223257572
C,1.0001,0.017318949386946766,0,5,float64,0,,,0,1242.238418476344,0.0008049982749840368
C,1.0001,0.017318949386946766,0,5,float32,0,,,0,2157.76708984375,0.0004634420063833744
C,1.0001,0.017318949386946766,0,6,float64,0,,,0,5109.825521899193,0.00019570139585933788
C,1.0001,0.017318949386946766,0,6,float32,0,,,0,3413.286865234375,0.0002929727223257572
C,1.0001,0.017318949386946766,0,7,float64,0,,,0,7778.6774495982445,0.00012855655745735994
C,1.0001,0.017318949386946766,0,7,float32,0,,,0,20900.111328125,4.7846636499926376e-05
C,1.0001,0.017318949386946766,0,8,float64,0,,,0,2320.121629280462,0.0004310118596611012
C,1.0001,0.017318949386946766,0,8,float32,0,,,0,3616.7666015625,0.0002764900538583248
C,1.0001,0.017318949386946766,0,9,float64,0,,,0,38572.45289607009,2.5925237435053816e-05
C,1.0001,0.017318949386946766,0,9,float32,0,,,0,3413.286865234375,0.0002929727223257572
