check,a,y,value,expected,error,bound,passed,ks
branch_sum,0.01,-10.0,3.182925718777434e-05,3.18298958000908e-05,6.386123164569407e-10,6.386761800109708e-10,True,
branch_sum,0.01,-0.3,0.035327277099845796,0.03532733627401446,5.917416866230152e-08,5.9180086404686275e-08,True,
branch_sum,0.01,0.0,31.832049579759683,31.83204964425953,6.449984724099522e-08,6.450629418110805e-08,True,
branch_sum,0.01,2.0,0.0007957153988465067,0.0007957282988152864,1.2899968779701669e-08,1.290125883622161e-08,True,
branch_sum,0.1,-10.0,0.0003172151822612266,0.000317221568384391,6.386123164406777e-09,6.386761800109707e-09,True,
branch_sum,0.1,-0.3,0.3174629377747056,0.3174635295163921,5.917416865397485e-07,5.918008640468628e-07,True,
branch_sum,0.1,0.0,3.1937014795558887,3.1937021245543273,6.449984386591723e-07,6.450629418110804e-07,True,
branch_sum,0.1,2.0,0.007911549927279058,0.007911678926966856,1.289996877981009e-07,1.290125883622161e-07,True,
branch_sum,1.0,-10.0,0.0024101855646722304,0.002410249425903853,6.386123162270899e-08,6.386761800109707e-08,True,
branch_sum,1.0,-0.3,0.36180552378151265,0.36181144119837555,5.917416862899483e-06,5.918008640468627e-06,True,
branch_sum,1.0,0.0,0.4179456622982134,0.41795211228259327,6.4499843798748735e-06,6.450629418110805e-06,True,
branch_sum,1.0,2.0,0.05292918838519132,0.05293047838206889,1.2899968775750836e-06,1.2901258836221609e-06,True,
branch_sum,10.0,-10.0,0.003150944406493262,0.0031515830187881493,6.38612294887389e-07,6.386761800109707e-07,True,
branch_sum,10.0,-0.3,0.2919682453556193,0.2920274195222688,5.9174166649467175e-05,5.9180086404686275e-05,True,
branch_sum,10.0,0.0,0.31824538765431953,0.31830988749596184,6.449984164230704e-05,6.450629418110804e-05,True,
branch_sum,10.0,2.0,0.06364907711095313,0.0636619770792976,1.2899968344470825e-05,1.290125883622161e-05,True,
cauchy_integral,0.001,,0.0019990006661661248,0.0019990006661670663,9.41521166586412e-16,1e-09,True,
cauchy_integral,0.01,,0.01990066170633621,0.019900661706336167,4.163336342344337e-17,1e-09,True,
cauchy_integral,0.1,,0.19062035960863435,0.19062035960864973,1.5376588891058418e-14,1e-09,True,
cauchy_integral,0.5,,0.8109302162163251,0.8109302162163288,3.6637359812630166e-15,1e-09,True,
cauchy_integral,1.0,,1.3862943611198666,1.3862943611198906,2.398081733190338e-14,1e-09,True,
cauchy_integral,10.0,,4.7957905455967484,4.795790545596741,7.105427357601002e-15,1e-09,True,
kfold,2,,,,3.1401849173675503e-16,1e-11,True,0.001752809976458547
kfold,3,,,,3.1401849173675503e-16,1e-11,True,0.0029228032683370486
kfold,4,,,,3.1401849173675503e-16,1e-11,True,0.0033291901655321254
