suite,batch,eta,kappa_index,kappa,snapshot,bins,hx_bits,hy_bits,hxy_bits,hcond_bits,mi_bits,mismatch_probability,fano_bound_bits,sync_fraction,median_logd,invalid_count,valid_count,shuffle_mi_bits,ever_entered_fraction,reexit_fraction,mean_exit_count
main,0,1e-06,0,0.0,0,8,2.9993464780137975,2.9993464780137975,5.994935507461548,2.9955890294477507,0.0037574485660467616,0.876708984375,2.9999806621697496,0.0,-0.4111378241339217,0,4096,0.0056517439318923834,0.0,0.0,0.0
main,0,1e-06,0,0.0,0,16,3.9980458527873255,3.9980458527873255,7.978138575876775,3.9800927230894496,0.01795312969787588,0.937744140625,3.9999992653138405,0.0,-0.4111378241339217,0,4096,0.025246416273884797,0.0,0.0,0.0
main,0,1e-06,0,0.0,0,32,4.996865693713506,4.996865693713506,9.899219601407005,4.902353907693499,0.0945117860200071,0.969482421875,4.999987120016078,0.0,-0.4111378241339217,0,4096,0.101393075410952,0.0,0.0,0.0
main,0,1e-06,0,0.0,100,8,2.9981508631115092,2.9981508631115092,5.99115310999349,2.9930022468819804,0.005148616229528891,0.883056640625,2.9995637566915985,0.0,-0.36085248892681565,0,4096,0.0050166197871561735,0.00048828125,0.00048828125,0.00048828125
main,0,1e-06,0,0.0,100,16,3.99745360313117,3.99745360313117,7.97464493054155,3.97719132741038,0.02026227572078998,0.940185546875,3.99990999785317,0.0,-0.36085248892681565,0,4096,0.024829104078829545,0.00048828125,0.00048828125,0.00048828125
main,0,1e-06,0,0.0,100,32,4.995282420066402,4.995282420066402,9.914800724671327,4.919518304604925,0.07576411546147632,0.967041015625,4.999931603191492,0.0,-0.36085248892681565,0,4096,0.0855480733003322,0.00048828125,0.00048828125,0.00048828125
main,0,1e-06,0,0.0,1000,8,2.999232151236601,2.999232151236601,5.991389008754303,2.9921568575177018,0.007075293718899367,0.869384765625,2.999794657652566,0.0,-0.4442036613095931,0,4096,0.004795285424956219,0.00390625,0.00390625,0.00390625
main,0,1e-06,0,0.0,1000,16,3.9989161878740838,3.9989161878740838,7.974021508154655,3.975105320280571,0.023810867593512697,0.932373046875,3.999684331586896,0.0,-0.4442036613095931,0,4096,0.024827996641726635,0.00390625,0.00390625,0.00390625
main,0,1e-06,0,0.0,1000,32,4.9979406562951185,4.9979406562951185,9.905972029707048,4.908031373411929,0.08990928288318933,0.962890625,4.999227240099592,0.0,-0.4442036613095931,0,4096,0.09573211109924351,0.00390625,0.00390625,0.00390625
main,0,1e-06,0,0.0,7500,8,2.9988648361150156,2.9988648361150156,5.992703581078068,2.9938387449630524,0.005026091151963286,0.87548828125,2.9999984258287498,0.0,-0.4084932048491825,0,4096,0.005202866695707797,0.028076171875,0.028076171875,0.028076171875
main,0,1e-06,0,0.0,7500,16,3.998068757301137,3.998068757301137,7.9753752507577325,3.9773064934565956,0.020762263844541273,0.934326171875,3.999877899734555,0.0,-0.4084932048491825,0,4096,0.02380719905966533,0.028076171875,0.028076171875,0.028076171875
main,0,1e-06,0,0.0,7500,32,4.996496684989818,4.996496684989818,9.904707906717482,4.908211221727663,0.0882854632621548,0.9638671875,4.999458487241318,0.0,-0.4084932048491825,0,4096,0.0953097890353547,0.028076171875,0.028076171875,0.028076171875
main,0,1e-06,0,0.0,30000,8,2.9996655072004517,2.9996655072004517,5.99501216486171,2.9953466576612584,0.004318849539193259,0.87548828125,2.9999984258287498,0.0,-0.4246577173046623,0,4096,0.00273036111356717,0.102783203125,0.102783203125,0.108642578125
main,0,1e-06,0,0.0,30000,16,3.999279328512478,3.999279328512478,7.979281989098496,3.9800026605860177,0.019276667926460433,0.934326171875,3.999877899734555,0.0,-0.4246577173046623,0,4096,0.0264705497065556,0.102783203125,0.102783203125,0.108642578125
main,0,1e-06,0,0.0,30000,32,4.997375610316398,4.997375610316398,9.910731969799263,4.913356359482865,0.08401925083353312,0.96875,5.0,0.0,-0.4246577173046623,0,4096,0.0877465544325684,0.102783203125,0.102783203125,0.108642578125
main,0,1e-06,1,0.3285318486896931,0,8,2.9993464780137975,2.9993464780137975,5.994935507461548,2.9955890294477507,0.0037574485660467616,0.876708984375,2.9999806621697496,0.0,-0.4111378241339217,0,4096,0.007035627546534862,0.0,0.0,0.0
main,0,1e-06,1,0.3285318486896931,0,16,3.9980458527873255,3.9980458527873255,7.978138575876775,3.9800927230894496,0.01795312969787588,0.937744140625,3.9999992653138405,0.0,-0.4111378241339217,0,4096,0.0281058337464426,0.0,0.0,0.0
main,0,1e-06,1,0.3285318486896931,0,32,4.996865693713506,4.996865693713506,9.899219601407005,4.902353907693499,0.0945117860200071,0.969482421875,4.999987120016078,0.0,-0.4111378241339217,0,4096,0.0859590908661545,0.0,0.0,0.0
main,0,1e-06,1,0.3285318486896931,100,8,2.9996234118792193,2.9996234118792193,3.6631963820699633,0.663572970190744,2.3360504416884753,0.099365234375,0.7459336784230703,0.3994140625,-8.965481373443176,0,4096,0.0056912164832150225,0.816162109375,0.6513671875,1.210205078125
main,0,1e-06,1,0.3285318486896931,100,16,3.9975948459801662,3.9975948459801662,4.98537348704253,0.9877786410623637,3.0098162049178026,0.149169921875,1.1905496946346799,0.3994140625,-8.965481373443176,0,4096,0.023745934972033922,0.816162109375,0.6513671875,1.210205078125
