suite,eta,kappa_index,kappa,snapshot,bins,batch_count,hx_bits_mean,hx_bits_batch_sd,hy_bits_mean,hy_bits_batch_sd,hxy_bits_mean,hxy_bits_batch_sd,hcond_bits_mean,hcond_bits_batch_sd,mi_bits_mean,mi_bits_batch_sd,mismatch_probability_mean,mismatch_probability_batch_sd,fano_bound_bits_mean,fano_bound_bits_batch_sd,sync_fraction_mean,sync_fraction_batch_sd,median_logd_mean,median_logd_batch_sd,invalid_count_mean,invalid_count_batch_sd,valid_count_mean,valid_count_batch_sd,shuffle_mi_bits_mean,shuffle_mi_bits_batch_sd,ever_entered_fraction_mean,ever_entered_fraction_batch_sd,reexit_fraction_mean,reexit_fraction_batch_sd,mean_exit_count_mean,mean_exit_count_batch_sd
main,1e-06,0,0.0,0,8,4,2.999477666909165,0.0002356470483412338,2.999477666909165,0.0002356470483412338,5.9940211198096724,0.0007733367465883726,2.9945434529005075,0.0007601843872510873,0.0049342140086579,0.0008177835559612366,0.8729248046875,0.0071498893000073805,2.9997235229857933,0.0003622571885006432,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.00540472205048137,0.0004024059394628557,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,0,0.0,0,16,4,3.9987633282797246,0.000491872116592795,3.9987633282797246,0.000491872116592795,7.9752272600781104,0.003084649051044608,3.9764639317983863,0.0033902293357498535,0.022299396481338052,0.0037357899416335413,0.93804931640625,0.001863322451473846,3.999963752292774,6.0439837363770617e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.02132001335452771,0.003719675884325616,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,0,0.0,0,32,4,4.9973142105830375,0.0004627479287891864,4.9973142105830375,0.0004627479287891864,9.901786889510063,0.002188722080764019,4.904472678927027,0.0021949443559454032,0.09284153165601117,0.002296372878207402,0.96844482421875,0.0020559578607844695,4.999922996142708,6.896749670333766e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.09078472189330888,0.0073769508466752735,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,0,0.0,100,8,4,2.9991943102486287,0.000722157685231374,2.9991943102486287,0.000722157685231374,5.9937144672354385,0.002054330049256247,2.994520156986809,0.001513834161493354,0.004674153261819969,0.0011858074170829217,0.880126953125,0.002137683192800081,2.9998010724741917,0.000164453579788631,0.0,0.0,-0.3994555734694565,0.02843199973561491,0.0,0.0,4096.0,0.0,0.004429202605292781,0.0006950277514416906,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811
main,1e-06,0,0.0,100,16,4,3.998401855487691,0.000750831573295287,3.998401855487691,0.000750831573295287,7.975798763025807,0.0043602328093009166,3.9773969075381164,0.00389371889186217,0.02100494794957375,0.0035267491503222508,0.94061279296875,0.0006723108578230105,3.9998744365714485,5.381812458262763e-05,0.0,0.0,-0.3994555734694565,0.02843199973561491,0.0,0.0,4096.0,0.0,0.023340668397029196,0.0016403262949362875,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811
main,1e-06,0,0.0,100,32,4,4.996528315014835,0.0011934169205640923,4.996528315014835,0.0011934169205640923,9.907699169657594,0.004769182880140666,4.9111708546427595,0.005696156880722693,0.08535746037207614,0.006707890053359514,0.97003173828125,0.0023364057975188137,4.999859155863252,0.00016154037069348418,0.0,0.0,-0.3994555734694565,0.02843199973561491,0.0,0.0,4096.0,0.0,0.08548209846376675,0.0031129566146322956,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811,0.00048828125,0.00019933998557805811
main,1e-06,0,0.0,1000,8,4,2.9993414162386847,0.0001481858972077778,2.9993414162386847,0.0001481858972077778,5.993766025469451,0.0015852258968533852,2.9944246092307663,0.0015207175158763338,0.004916807007918633,0.0014683802308646436,0.87548828125,0.004584819668295337,2.9998945605228684,9.351442565054012e-05,0.0,0.0,-0.43418736514860523,0.0236896500111933,0.0,0.0,4096.0,0.0,0.0047422462932082965,0.0003691556636706731,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473
main,1e-06,0,0.0,1000,16,4,3.998888437532175,0.000286011280859947,3.998888437532175,0.000286011280859947,7.976257165357228,0.004796961657301828,3.9773687278250525,0.004784980895837169,0.02151970970712247,0.0047900780902807565,0.93524169921875,0.0027648319465102844,3.999869205377576,0.00012947522926791795,0.0,0.0,-0.43418736514860523,0.0236896500111933,0.0,0.0,4096.0,0.0,0.02387985371525958,0.0007639052583977748,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473
main,1e-06,0,0.0,1000,32,4,4.997570721592499,0.00037352730680296993,4.997570721592499,0.00037352730680296993,9.903967588945205,0.010774097007617266,4.906396867352706,0.010688999304382324,0.0911738542397944,0.010616369022715783,0.967041015625,0.0029364613529734235,4.999787927404658,0.0003750428748129777,0.0,0.0,-0.43418736514860523,0.0236896500111933,0.0,0.0,4096.0,0.0,0.09029941763588933,0.0037292769166269966,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473,0.00360107421875,0.00023374685247957473
main,1e-06,0,0.0,7500,8,4,2.99910637840286,0.000745979144048908,2.99910637840286,0.000745979144048908,5.993375073230781,0.002117658544514683,2.994268694827921,0.00138860118740064,0.0048376835749393,0.0006963609486873693,0.87225341796875,0.005600619993630108,2.9997980780821374,0.00020138584766843062,0.0,0.0,-0.4046448777433582,0.01512956631450194,0.0,0.0,4096.0,0.0,0.00466255564866791,0.000767324197854542,0.02581787109375,0.0022141549251973943,0.02581787109375,0.0022141549251973943,0.02606201171875,0.0020751953125
main,1e-06,0,0.0,7500,16,4,3.998283288642048,0.0006573979987676281,3.998283288642048,0.0006573979987676281,7.975445129462473,0.004150743004021766,3.9771618408204255,0.0035502580970053505,0.021121447821622397,0.002973943826442563,0.93408203125,0.00520578958063785,3.99961928497018,0.00045916893730776643,0.0,0.0,-0.4046448777433582,0.01512956631450194,0.0,0.0,4096.0,0.0,0.021368484766070894,0.0029225413392455434,0.02581787109375,0.0022141549251973943,0.02581787109375,0.0022141549251973943,0.02606201171875,0.0020751953125
