trajectory,s0,common_mean,common_theory,k0_positive_fraction_w256,k0_positive_fraction_w4096,k1_positive_fraction_w256,k1_positive_fraction_w4096,k2_positive_fraction_w256,k2_positive_fraction_w4096,k3_positive_fraction_w256,k3_positive_fraction_w4096,k4_positive_fraction_w256,k4_positive_fraction_w4096,k5_positive_fraction_w256,k5_positive_fraction_w4096,k6_positive_fraction_w256,k6_positive_fraction_w4096,k7_positive_fraction_w256,k7_positive_fraction_w4096,k8_positive_fraction_w256,k8_positive_fraction_w4096
154,0.39304073208224144,1.1846332592260418,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6328125,1.0,0.5390625,0.5,0.5078125,0.375,0.421875,0.375,0.265625,0.0,0.0078125,0.0,0.0,0.0
155,1.7132971625989148,1.192572771830069,1.1942327179468006,1.0,1.0,0.7734375,1.0,0.6640625,1.0,0.5234375,0.75,0.5,0.5,0.4609375,0.375,0.3203125,0.0,0.0,0.0,0.0,0.0
156,17.301494112534563,1.2118086560385617,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.7109375,1.0,0.546875,0.875,0.515625,0.75,0.484375,0.5,0.359375,0.125,0.0234375,0.0,0.0,0.0
157,10.281163229983104,1.188349196915673,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.703125,0.875,0.5234375,0.625,0.4765625,0.5,0.4296875,0.375,0.28125,0.0,0.0,0.0,0.0,0.0
158,0.6558178339477381,1.212910398687402,1.1942327179468006,1.0,1.0,0.859375,1.0,0.734375,1.0,0.5625,0.875,0.5546875,0.75,0.53125,0.625,0.375,0.0,0.0078125,0.0,0.0,0.0
159,-2.372779962801227,1.1813748176597672,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6171875,1.0,0.4921875,0.25,0.453125,0.25,0.40625,0.25,0.2734375,0.0,0.0,0.0,0.0,0.0
160,-0.21497520296467237,1.187753510813615,1.1942327179468006,1.0,1.0,0.7734375,1.0,0.6328125,0.875,0.5078125,0.625,0.4765625,0.375,0.4296875,0.25,0.28125,0.0,0.0078125,0.0,0.0,0.0
161,4.0662487920158075,1.2085869569248644,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.6953125,1.0,0.5234375,1.0,0.484375,0.625,0.4765625,0.5,0.3828125,0.0,0.0078125,0.0,0.0,0.0
162,-0.25623223416451596,1.1897232737840988,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6796875,1.0,0.515625,0.625,0.484375,0.5,0.421875,0.25,0.2578125,0.0,0.0078125,0.0,0.0,0.0
163,1.1445233281879355,1.184521319362564,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.609375,1.0,0.4765625,0.5,0.4375,0.5,0.390625,0.25,0.2890625,0.0,0.0,0.0,0.0,0.0
164,1.0192883125933825,1.2020876361494963,1.1942327179468006,1.0,1.0,0.875,1.0,0.734375,1.0,0.59375,0.75,0.5234375,0.5,0.453125,0.5,0.2734375,0.0,0.0,0.0,0.0,0.0
165,-2.091287747520155,1.1939858599666957,1.1942327179468006,1.0,1.0,0.796875,1.0,0.65625,1.0,0.546875,0.625,0.5234375,0.375,0.484375,0.375,0.3359375,0.0,0.0078125,0.0,0.0,0.0
166,-0.2064904656333605,1.2048625345626172,1.1942327179468006,1.0,1.0,0.8671875,1.0,0.734375,1.0,0.59375,0.625,0.5703125,0.5,0.5078125,0.5,0.296875,0.0,0.0,0.0,0.0,0.0
167,-0.5068254365200966,1.1918483599186942,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.6640625,1.0,0.4765625,0.625,0.421875,0.625,0.3984375,0.125,0.265625,0.0,0.0078125,0.0,0.0,0.0
168,-16.620716553705318,1.197413548021396,1.1942327179468006,1.0,1.0,0.7890625,1.0,0.6875,1.0,0.5546875,0.625,0.5,0.375,0.4765625,0.375,0.3203125,0.0,0.0,0.0,0.0,0.0
169,-0.6322515554182727,1.1953515216207877,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.65625,1.0,0.5078125,0.375,0.4921875,0.375,0.4609375,0.125,0.296875,0.125,0.0,0.0,0.0,0.0
170,-3.302493814401843,1.1823680772171894,1.1942327179468006,1.0,1.0,0.734375,1.0,0.65625,1.0,0.5234375,0.5,0.5,0.25,0.453125,0.25,0.296875,0.0,0.0,0.0,0.0,0.0
171,2.758555498863566,1.1999784435550713,1.1942327179468006,1.0,1.0,0.8125,1.0,0.640625,0.875,0.53125,0.625,0.4921875,0.5,0.46875,0.375,0.328125,0.125,0.0,0.0,0.0,0.0
