split,seed,alpha,initial_state,location,scale,repeated,near_1e12,near_1e10,near_1e8
train,510000,0.34,-0.23462367011207394,0.013185521342908946,0.7065219606766744,False,0,0,0
train,510000,0.42,0.6646174008714123,-0.011924196828849508,0.8159717131765625,False,0,0,0
train,510000,0.5,-1.673464627486398,-0.006701540505368864,0.9752715100258631,False,0,0,0
train,510000,0.58,0.32243966833850446,0.07245960690588027,1.1763816786113055,False,0,0,0
train,510000,0.66,0.9175059677547117,0.0696547061485738,1.3991978127076612,False,0,0,0
train,510001,0.34,0.831110767186701,-0.013418562871760659,0.7361886519626799,False,0,0,0
train,510001,0.42,-2.1155991225373603,-0.013705948005460145,0.8346672000342281,False,0,0,0
train,510001,0.5,1.2523534520355204,0.037204388317520765,1.0303711194501388,False,0,0,0
train,510001,0.58,0.6189592650594806,0.024490641711233524,1.223870085632499,False,0,0,0
train,510001,0.66,0.4249315615706241,0.006533481456265492,1.4627533485736113,False,0,0,0
train,510002,0.34,-1.1902496481368507,-0.009195410936930276,0.7077357996771574,False,0,0,0
train,510002,0.42,-2.3435348613270657,0.019448333042384892,0.8306135102945819,False,0,0,0
train,510002,0.5,7.561528660830109,-0.04069821062182405,1.029679144182803,False,0,0,0
train,510002,0.58,-3.9895257665648556,-0.011889974726687718,1.143182803259943,False,0,0,0
train,510002,0.66,-4.3079310862434355,-0.04311470146666002,1.393340054988793,False,0,0,0
train,510003,0.34,1.4098398092289872,0.0029083154170615557,0.701444079682411,False,0,0,0
train,510003,0.42,6.815414496134961,-0.011636624899360275,0.8726345849650363,False,0,0,0
train,510003,0.5,-0.0701450774654668,-0.012490397270878723,1.0155292806927758,False,0,0,0
train,510003,0.58,-0.31281378783017183,0.00994602317264751,1.1792170625098481,False,0,0,0
train,510003,0.66,1.5190706301003187,-0.09663846826585701,1.4072877945525044,False,0,0,0
train,510004,0.34,-2.127186760569161,-0.011970177117416509,0.7206206369616235,False,0,0,0
train,510004,0.42,-1.746358568723905,-0.0036119641327192497,0.834537942182193,False,0,0,0
train,510004,0.5,-0.5635908963082163,-0.024295475927741533,1.0435243957289417,False,0,0,0
train,510004,0.58,-1.790549183430861,-0.007242282701302281,1.1557241765362143,False,0,0,0
train,510004,0.66,2.857820611652241,-0.01965359052639866,1.4647254789699735,False,0,0,0
train,510005,0.34,0.5709547179794737,-0.004636406700335322,0.7119439147919951,False,0,0,0
train,510005,0.42,0.4823338071895788,0.010149378875456808,0.884249123434804,False,0,0,0
train,510005,0.5,8.792321322491537,-0.0174621747021122,0.9997619548528613,False,0,0,0
train,510005,0.58,-6.359891826809861,0.02272267520736594,1.1821742420450163,False,0,0,0
train,510005,0.66,3.3561579138031408,0.025338409544649478,1.42810804974784,False,0,0,0
train,510006,0.34,3.1148200643846637,0.021244656434176855,0.7369169977643409,False,0,0,0
train,510006,0.42,-0.3572418537297854,0.022871053244238368,0.826501486000759,False,0,0,0
train,510006,0.5,-0.34417821901770423,-0.0046431510122990904,0.9895270732197491,False,0,0,0
train,510006,0.58,0.991486270814333,0.03840641407329887,1.1518348249354058,False,0,0,0
train,510006,0.66,6.020380400111825,-0.08359611398677733,1.5090576695109132,False,0,0,0
train,510007,0.34,0.07985057539219102,-0.005841022911657926,0.7138615695492798,False,0,0,0
